rank, pmcid, score
1, 3846936, 0.9930079
2, 2740076, 0.9561877
3, 2546372, 0.8052345
4, 3676979, 0.7396189
5, 3596056, 0.71893775
6, 3888003, 0.710353
7, 3551405, 0.70077044
8, 3738361, 0.6684173
9, 2467416, 0.64165163
10, 2906982, 0.6239292
11, 3663309, 0.60397744
12, 3649187, 0.6003212
13, 3267065, 0.5990053
14, 3515935, 0.5895438
15, 3015640, 0.5774471
16, 3073784, 0.56365037
17, 2943109, 0.5571496
18, 3711740, 0.55091226
19, 3433555, 0.5490566
20, 3214511, 0.54175574
21, 2878678, 0.54082966
22, 3349988, 0.5378628
23, 3636968, 0.53765714
24, 3745864, 0.53351593
25, 2575197, 0.52393126
26, 2244600, 0.5224007
27, 3160386, 0.52163327
28, 2442045, 0.52126837
29, 3016127, 0.5059985
30, 3340971, 0.5051577
31, 3845338, 0.49656066
32, 2170446, 0.4964893
33, 3600251, 0.4928504
34, 3125360, 0.49096137
35, 3649157, 0.48154435
36, 3023755, 0.47770903
37, 3015397, 0.47675937
38, 3738353, 0.47251773
39, 3874942, 0.4697758
40, 2687673, 0.46664703
41, 2556666, 0.46524855
42, 2672301, 0.46227568
43, 3575664, 0.45579225
44, 3398091, 0.45383483
45, 3094313, 0.45274317
46, 3838988, 0.451803
47, 3480933, 0.44797638
48, 2615036, 0.44525832
49, 3418018, 0.44282067
50, 3268705, 0.44223908
51, 3336915, 0.44197834
52, 3407625, 0.43281025
53, 3876309, 0.42980373
54, 3016819, 0.4284093
55, 2821303, 0.42316794
56, 3250653, 0.42258683
57, 2766912, 0.42235252
58, 3304262, 0.42064553
59, 3533164, 0.41774872
60, 3629711, 0.4155824
61, 3492044, 0.41518664
62, 3285529, 0.4140768
63, 2687612, 0.41400984
64, 3259020, 0.40981966
65, 3134683, 0.40884012
66, 2803824, 0.40706626
67, 1936994, 0.40699276
68, 2643339, 0.4064045
69, 3363056, 0.40462774
70, 3200132, 0.40456533
71, 2740156, 0.40453783
72, 3065404, 0.40415117
73, 2827146, 0.40348
74, 3410771, 0.40319028
75, 2941599, 0.4029398
76, 3214684, 0.40263087
77, 3047773, 0.40204856
78, 2911400, 0.40104425
79, 3018996, 0.39482272
80, 3411373, 0.3947751
81, 3016128, 0.3947531
82, 2533016, 0.3917402
83, 3872829, 0.38972488
84, 2931379, 0.38956517
85, 3600280, 0.38740194
86, 3003679, 0.38661063
87, 3083728, 0.38644844
88, 3015668, 0.38420138
89, 3015549, 0.38333338
90, 3168462, 0.38272673
91, 3095252, 0.38265902
92, 2820011, 0.38038033
93, 2799961, 0.37935242
94, 3327834, 0.37808836
95, 3866077, 0.37700343
96, 2808324, 0.37602162
97, 2729229, 0.37423253
98, 3539596, 0.37369928
99, 3681262, 0.3722201
100, 3522331, 0.37016153
