rank, pmcid, score
1, 3875471, 0.010917984
2, 3847124, 0.008355188
3, 2933488, 0.0064214244
4, 3287169, 0.006346041
5, 2588503, 0.0061646006
6, 3577729, 0.006071099
7, 3487024, 0.006062058
8, 3131012, 0.006043334
9, 3334261, 0.0057956465
10, 2229505, 0.0056932303
11, 3893498, 0.005647458
12, 2968446, 0.0056029386
13, 2647307, 0.0054951864
14, 3880471, 0.0054660896
15, 3649302, 0.005346979
16, 3539907, 0.005282661
17, 2781159, 0.005268753
18, 2931666, 0.005133557
19, 1590032, 0.004936432
20, 3836946, 0.004790824
21, 3754399, 0.0046837293
22, 2687574, 0.004500834
23, 2899024, 0.004387511
24, 3083816, 0.004379661
25, 2615338, 0.004373829
26, 2700440, 0.0043584257
27, 3192729, 0.0043053757
28, 1276800, 0.0042735334
29, 3047006, 0.004261252
30, 3819113, 0.0042474577
31, 3047873, 0.0041657495
32, 3691645, 0.0041450704
33, 3817628, 0.0041178013
34, 3677355, 0.0041108914
35, 2580000, 0.004108935
36, 2898814, 0.0041021844
37, 3002009, 0.0040915026
38, 2848679, 0.004047072
39, 3276037, 0.0040327124
40, 3866781, 0.0040083183
41, 3407190, 0.0039865794
42, 2940032, 0.0039780196
43, 2898700, 0.0039766864
44, 3299994, 0.0039564404
45, 3834860, 0.0039543337
46, 3508884, 0.003943437
47, 3424874, 0.0038778384
48, 2713247, 0.0038663875
49, 3712439, 0.0038559285
50, 3022139, 0.0038451687
51, 3388746, 0.0038394749
52, 3002912, 0.00382394
53, 2553184, 0.0038225104
54, 3605187, 0.003784702
55, 3226127, 0.0037437943
56, 3635056, 0.003738176
57, 3199548, 0.0037327732
58, 3170352, 0.0037174835
59, 3304262, 0.0036965585
60, 3545342, 0.0036959935
61, 3183709, 0.0036928747
62, 3176446, 0.0036863764
63, 3395649, 0.0036846183
64, 2045103, 0.0036640158
65, 2989140, 0.003633053
66, 3844708, 0.0036097623
67, 2033630, 0.0036094375
68, 2585816, 0.003585576
69, 2362766, 0.0035806862
70, 3520809, 0.0035711196
71, 2700111, 0.0035671443
72, 3797141, 0.0035594401
73, 3000561, 0.0035591242
74, 3111170, 0.0035445052
75, 2813613, 0.003530654
76, 3699250, 0.0035234343
77, 3389251, 0.0035211232
78, 3017702, 0.0035182463
79, 3871667, 0.0035132447
80, 3505693, 0.0035115175
81, 3142828, 0.0034847886
82, 3299326, 0.0034768286
83, 3181995, 0.003473818
84, 2637837, 0.003455232
85, 3404052, 0.0034361896
86, 2683441, 0.003425434
87, 2729229, 0.00342313
88, 2702053, 0.0034068257
89, 3518717, 0.0033974478
90, 3412677, 0.003388278
91, 3843326, 0.0033861923
92, 3353675, 0.0033731442
93, 3129533, 0.0033731442
94, 3015230, 0.003372745
95, 3842689, 0.0033698592
96, 2522297, 0.003368821
97, 3551405, 0.0033679418
98, 2880591, 0.003366151
99, 3466862, 0.0033609138
100, 3203586, 0.0033569639
