rank, pmcid, score
1, 3215995, 0.7134405
2, 3655517, 0.71108437
3, 3411373, 0.69366616
4, 3748403, 0.6440937
5, 3838988, 0.60187805
6, 3521404, 0.5780357
7, 2827146, 0.57769483
8, 3355033, 0.57661957
9, 1936994, 0.5552856
10, 2823150, 0.54280245
11, 3195765, 0.54001546
12, 3806701, 0.5392607
13, 3097148, 0.53555465
14, 2705345, 0.53538525
15, 2279110, 0.5347727
16, 3545342, 0.53376925
17, 3649302, 0.5336183
18, 3860644, 0.53137165
19, 3133999, 0.5224777
20, 3471415, 0.52166325
21, 3866073, 0.5182339
22, 3572695, 0.50989354
23, 2702879, 0.50987846
24, 2821393, 0.50880086
25, 3030803, 0.5046204
26, 3018996, 0.50015384
27, 3711740, 0.49998045
28, 3762010, 0.49858955
29, 3502264, 0.49787027
30, 3663309, 0.49701223
31, 2394531, 0.49646544
32, 3551405, 0.49136794
33, 3160386, 0.4912101
34, 3214384, 0.48286942
35, 3267056, 0.4800425
36, 3628469, 0.47925323
37, 3544608, 0.4786414
38, 3877598, 0.47799408
39, 2769322, 0.47792482
40, 3163220, 0.475991
41, 3097568, 0.47435647
42, 2925354, 0.46953788
43, 3726238, 0.4693288
44, 3534209, 0.4641726
45, 3853387, 0.46172208
46, 2672301, 0.46026257
47, 1852095, 0.45858538
48, 2987957, 0.45754564
49, 3204466, 0.45536205
50, 2412892, 0.45519796
51, 3439946, 0.4542757
52, 3034074, 0.4506217
53, 2740203, 0.44749975
54, 3236146, 0.44739798
55, 3391837, 0.444709
56, 3123852, 0.4443289
57, 138801, 0.44403976
58, 2769297, 0.4436632
59, 3841535, 0.4433971
60, 3654137, 0.4424865
61, 3268705, 0.4413701
62, 3574659, 0.44002092
63, 2657263, 0.4392263
64, 2245957, 0.43922627
65, 3178469, 0.43912482
66, 3296946, 0.43696216
67, 3410081, 0.43683574
68, 2878678, 0.4366134
69, 2783145, 0.43566275
70, 3725171, 0.4345013
71, 3423661, 0.4338548
72, 3785339, 0.4319631
73, 3500025, 0.43135515
74, 3079085, 0.43021625
75, 2760859, 0.42978197
76, 3015425, 0.42801195
77, 3015509, 0.426936
78, 2820011, 0.42655212
79, 3285529, 0.42632273
80, 3461288, 0.42407042
81, 2803837, 0.4236853
82, 3502823, 0.4220143
83, 2397013, 0.42060038
84, 3676995, 0.41920632
85, 3075199, 0.4168969
86, 2222677, 0.41660455
87, 2810606, 0.4158067
88, 3271411, 0.41457978
89, 3151403, 0.41405523
90, 3016124, 0.41259637
91, 2726547, 0.41205162
92, 3015484, 0.4114931
93, 3015549, 0.41145042
94, 2683798, 0.4108679
95, 3298200, 0.41070697
96, 3866781, 0.40950456
97, 2666478, 0.40838128
98, 3177917, 0.40817204
99, 2769345, 0.40681207
100, 3199939, 0.4063914
