rank, pmcid, score
1, 2732778, 0.9510261
2, 3412677, 0.7488169
3, 3196709, 0.74776363
4, 3695091, 0.7386883
5, 3855836, 0.7327488
6, 3288944, 0.7168716
7, 3750659, 0.6998171
8, 3600188, 0.67500645
9, 3363119, 0.6608059
10, 3404172, 0.62569577
11, 2803752, 0.6078266
12, 3687862, 0.6076112
13, 3109311, 0.5974973
14, 3141699, 0.58158976
15, 3030803, 0.5542404
16, 2719082, 0.55272764
17, 2903953, 0.54449964
18, 3716810, 0.5438343
19, 3600192, 0.5395423
20, 2852697, 0.5377024
21, 3675640, 0.5185419
22, 3584831, 0.51699275
23, 3848546, 0.50925744
24, 419354, 0.4930864
25, 3324920, 0.48647052
26, 2762046, 0.47801822
27, 3243860, 0.4681333
28, 3474461, 0.46387503
29, 3271695, 0.45855978
30, 2760573, 0.45659766
31, 3432824, 0.45615008
32, 3286557, 0.4559561
33, 3733694, 0.45591158
34, 2920711, 0.45520607
35, 3319995, 0.45497912
36, 3123829, 0.44967335
37, 3176243, 0.44445184
38, 3544271, 0.43319663
39, 2912725, 0.4308209
40, 3597902, 0.43011948
41, 3214684, 0.42054433
42, 3365666, 0.42048523
43, 3388327, 0.41530067
44, 2279110, 0.41502523
45, 3111170, 0.4140216
46, 3343170, 0.41358542
47, 3030791, 0.412675
48, 2449117, 0.41074538
49, 3263654, 0.40650472
50, 3625595, 0.4062982
51, 2409350, 0.39900503
52, 2376770, 0.39534447
53, 3133991, 0.39507404
54, 2359986, 0.39298305
55, 3016124, 0.38828674
56, 3205805, 0.38605127
57, 2639610, 0.38603222
58, 2687673, 0.38146043
59, 2925815, 0.37761277
60, 3056415, 0.37749112
61, 2760570, 0.37595886
62, 3548714, 0.37354404
63, 3423077, 0.37114
64, 3683440, 0.3711261
65, 3095252, 0.36983162
66, 3734930, 0.36932367
67, 3116126, 0.36790985
68, 2561037, 0.36137325
69, 2687766, 0.35946232
70, 2770401, 0.35888693
71, 3226328, 0.3518814
72, 3890483, 0.34654227
73, 3371901, 0.34644836
74, 3841766, 0.34259492
75, 3666422, 0.3370584
76, 2736982, 0.33603442
77, 3857898, 0.33534685
78, 2394323, 0.33449692
79, 3616155, 0.33099607
80, 3880905, 0.33016476
81, 3335362, 0.32891646
82, 2769274, 0.32401156
83, 3457043, 0.32285863
84, 3180665, 0.3180886
85, 2999735, 0.3178762
86, 2729239, 0.31700435
87, 2259331, 0.3130948
88, 3689730, 0.31255448
89, 2702879, 0.30997375
90, 1829437, 0.3084908
91, 115203, 0.30816203
92, 3122103, 0.3062856
93, 3221847, 0.30175498
94, 3546075, 0.29923344
95, 2779445, 0.29769716
96, 3412678, 0.2946506
97, 3329853, 0.29337215
98, 2674304, 0.29287004
99, 2409809, 0.28551096
100, 2526433, 0.28521428
