rank, pmcid, score
1, 2868875, 0.7559632
2, 3665183, 0.7119915
3, 2791738, 0.60148275
4, 2884204, 0.59763837
5, 2987954, 0.58930504
6, 3159367, 0.58488756
7, 3375193, 0.5811962
8, 2769306, 0.5682497
9, 3665239, 0.56705225
10, 3833587, 0.56520337
11, 2906497, 0.56374216
12, 2390549, 0.55923736
13, 3833481, 0.5591405
14, 3622346, 0.55670094
15, 3378931, 0.5530296
16, 2783056, 0.5520024
17, 3199939, 0.5461341
18, 3506064, 0.54493934
19, 3129533, 0.544883
20, 3420375, 0.5448428
21, 3806705, 0.5431003
22, 3580369, 0.5386293
23, 3529232, 0.5379624
24, 3789905, 0.5371718
25, 3784135, 0.53665775
26, 2810606, 0.53649414
27, 3440898, 0.5354257
28, 3248587, 0.5313274
29, 2930659, 0.5310243
30, 2778448, 0.5239125
31, 3665179, 0.52304137
32, 3603620, 0.5211444
33, 3514397, 0.52112544
34, 3662141, 0.5196159
35, 3445081, 0.51757306
36, 3548361, 0.5170231
37, 2572041, 0.5167402
38, 2245957, 0.5159102
39, 3726238, 0.5158341
40, 2630300, 0.5157094
41, 2808565, 0.5149712
42, 2672283, 0.51288235
43, 2651857, 0.5128137
44, 3249600, 0.512017
45, 3015425, 0.5085739
46, 2626575, 0.50711757
47, 1852908, 0.5060803
48, 1434765, 0.50573885
49, 1824744, 0.5047064
50, 3445160, 0.5032272
51, 61035, 0.5021682
52, 2856542, 0.5007486
53, 3149114, 0.49943998
54, 3599992, 0.49754205
55, 3469364, 0.49613643
56, 3458412, 0.4958385
57, 1791015, 0.49582285
58, 3427044, 0.49571884
59, 3649619, 0.49518728
60, 3355033, 0.49452397
61, 3604869, 0.49362153
62, 1523371, 0.49260363
63, 3354470, 0.4901552
64, 3125360, 0.48930585
65, 3758842, 0.48732427
66, 2672233, 0.48726434
67, 3383148, 0.4865803
68, 3892061, 0.48648188
69, 3579466, 0.48637003
70, 2802381, 0.4841623
71, 3856285, 0.48372516
72, 3488388, 0.48347688
73, 2737789, 0.48291045
74, 2827076, 0.48262057
75, 3785339, 0.4814959
76, 2721320, 0.4812481
77, 3336229, 0.48112422
78, 3733192, 0.4793096
79, 3350152, 0.4792695
80, 2496696, 0.47898522
81, 2872575, 0.47780606
82, 3279691, 0.4766962
83, 3424654, 0.4765164
84, 2847728, 0.474568
85, 2862150, 0.47266254
86, 2270822, 0.47087082
87, 2769330, 0.46914524
88, 3123279, 0.46822956
89, 2829597, 0.46778706
90, 3224531, 0.46717304
91, 3151403, 0.46684447
92, 3760298, 0.46654424
93, 2790183, 0.46628335
94, 137260, 0.46564722
95, 3162264, 0.46485415
96, 503388, 0.4642836
97, 2726500, 0.4637184
98, 3113998, 0.46242464
99, 2732791, 0.46240482
100, 3445096, 0.46087492
