rank, pmcid, score
1, 2925354, 0.5184457
2, 3725171, 0.4835425
3, 3113183, 0.47129953
4, 3628469, 0.4599386
5, 3632018, 0.4445405
6, 2253550, 0.4440147
7, 2740156, 0.44396818
8, 2933122, 0.44327608
9, 3122097, 0.4411348
10, 3433556, 0.42924878
11, 2769376, 0.4288374
12, 3663309, 0.4248353
13, 3285529, 0.41850865
14, 2769297, 0.40481466
15, 3748403, 0.40287203
16, 3350117, 0.40203303
17, 2726498, 0.40143734
18, 3003679, 0.39628288
19, 3544608, 0.39468697
20, 3018996, 0.39311275
21, 1936994, 0.39153883
22, 3411373, 0.39135146
23, 3030803, 0.39021274
24, 2769341, 0.38956437
25, 2643339, 0.38742548
26, 2423720, 0.38665378
27, 3214511, 0.38340178
28, 3806164, 0.38003314
29, 3097148, 0.37861335
30, 2809077, 0.37764183
31, 3195765, 0.3770358
32, 3745864, 0.37675554
33, 3681262, 0.37632474
34, 3853387, 0.37410146
35, 2938513, 0.37136465
36, 3760260, 0.37041888
37, 3033242, 0.36998793
38, 3813776, 0.36814812
39, 3335664, 0.3674883
40, 3096593, 0.36380932
41, 3539596, 0.3611134
42, 2683798, 0.35600162
43, 3016752, 0.3543928
44, 2769305, 0.35024258
45, 3351958, 0.34656686
46, 3350193, 0.34616464
47, 2845142, 0.34387624
48, 3662733, 0.34236825
49, 2892693, 0.34225222
50, 3205504, 0.34213263
51, 3389893, 0.34086245
52, 3450927, 0.34077102
53, 3863827, 0.3354347
54, 3350224, 0.3349827
55, 2783137, 0.33469388
56, 3336915, 0.3344666
57, 3838988, 0.33420318
58, 2841811, 0.33416742
59, 3061903, 0.33413944
60, 2984297, 0.33228096
61, 3075147, 0.33192736
62, 2881437, 0.33108082
63, 2702950, 0.32798854
64, 3565913, 0.32709178
65, 2816854, 0.3267194
66, 3015425, 0.326404
67, 3834111, 0.3261584
68, 2974991, 0.324441
69, 3152917, 0.32393393
70, 3467437, 0.32200718
71, 3500025, 0.32083657
72, 3503351, 0.31942385
73, 3410093, 0.31840426
74, 1925057, 0.3151124
75, 1770937, 0.31468338
76, 2896582, 0.31440657
77, 2911400, 0.31380504
78, 2821393, 0.3127189
79, 2803799, 0.31166217
80, 2765939, 0.31099814
81, 2820011, 0.31067443
82, 122079, 0.30997297
83, 3307080, 0.3096625
84, 3420076, 0.30837494
85, 3515935, 0.30743423
86, 3830333, 0.30563182
87, 3716248, 0.3052301
88, 3178469, 0.30265924
89, 2657279, 0.3024228
90, 3779396, 0.30196413
91, 3888003, 0.30130875
92, 3598820, 0.30066922
93, 3884627, 0.29884154
94, 2726474, 0.29850385
95, 3502786, 0.29837388
96, 3632032, 0.29769176
97, 3711740, 0.29711595
98, 3268705, 0.29697767
99, 2279110, 0.29675758
100, 3250653, 0.29616892
