pmcid	score	relevancy
3521814	0.40610337	0
2955474	0.35656804	0
3649559	0.33379766	0
3416889	0.32179928	0
3789898	0.30860913	0
3318675	0.3005459	0
3383153	0.28129703	2
3147160	0.27918613	0
3298231	0.27912945	0
3555585	0.2783116	0
3557637	0.27395898	0
3579048	0.2710371	0
3132373	0.2693231	0
3499211	0.26766437	0
3487217	0.2637992	0
1950873	0.2605385	0
2804148	0.25626412	2
3200192	0.25606745	0
3414810	0.25551304	0
3600336	0.25458658	0
3039579	0.25127733	0
2803987	0.2508841	0
3259140	0.24869531	0
2859477	0.24666667	0
3521621	0.24558769	0
3513595	0.24469379	0
2705819	0.24352188	2
3581796	0.24291128	0
2710973	0.2394621	2
3619046	0.23915334	0
3780548	0.23903568	0
3205379	0.23869507	0
3833587	0.23708612	0
3346266	0.23650877	0
3658867	0.23554252	0
2697592	0.23519817	0
3291708	0.234947	0
1993945	0.23431289	0
2740235	0.22639938	0
3572695	0.22571294	0
3299167	0.22539969	0
3434906	0.22443394	0
2694806	0.22422215	0
2728612	0.22378558	0
3284276	0.22216967	0
2631494	0.22095206	0
3160001	0.22018257	0
3209594	0.2178306	0
2686340	0.21781743	2
2797594	0.21708612	0
3088395	0.21696545	0
2538522	0.21661453	0
3350058	0.2165915	0
2740311	0.21480356	0
3280479	0.21450758	0
2772271	0.21211398	0
2803817	0.21134114	0
3557580	0.21048445	0
2691651	0.20899092	0
3785054	0.2029161	0
3495359	0.20288406	0
2567964	0.20175613	0
2906497	0.201628	0
3599449	0.20126274	0
3686070	0.19976997	0
2859737	0.19777948	0
3048066	0.19772597	0
3485988	0.19694033	0
2526518	0.19687724	0
3227363	0.19649607	0
3310834	0.1956283	0
3281253	0.19552857	2
2878694	0.19549105	0
3108775	0.19528778	0
3825604	0.19490325	0
2045103	0.19363303	0
3161236	0.19332193	0
3566391	0.19230251	0
3508111	0.19061947	0
2494620	0.19001782	0
2686929	0.18947001	0
3632172	0.18868421	0
3429832	0.18861833	0
3129087	0.18821022	0
3716024	0.18807392	0
3033857	0.18796843	2
3349957	0.1867827	0
3016304	0.18664919	0
3373975	0.18650006	0
2845145	0.18498999	0
3641938	0.18375272	0
3336249	0.18343411	0
3065056	0.1832794	0
3658255	0.18239282	0
3249317	0.1816829	0
3615923	0.18132216	0
3587677	0.18004481	0
3634178	0.17924903	0
3871041	0.17913741	0
3660211	0.17840588	0
2892692	0.17837995	0
2962261	0.17777812	0
3888922	0.17521049	0
2672143	0.17493904	0
2629964	0.17367874	0
2797375	0.17290927	0
2442122	0.1723361	2
3460030	0.17175312	0
2911602	0.17169075	0
3712159	0.17160064	0
3412712	0.17104834	0
2855435	0.1710388	0
3575960	0.17068377	0
3440924	0.16976702	0
3096912	0.16853741	0
3329472	0.16807453	0
2693835	0.16753401	0
2895179	0.1674718	0
3487315	0.16731031	2
1994045	0.16699548	0
3539052	0.1655511	0
2927475	0.1653399	0
3614262	0.16482566	0
2737801	0.16425343	0
2760694	0.16376843	0
3150839	0.16357432	0
3560638	0.16340087	0
3184652	0.1629096	0
2722015	0.16169563	0
2740182	0.16159922	0
3728498	0.16085453	0
2693661	0.16082141	0
3658657	0.16067298	0
3560943	0.16005094	0
3006050	0.15947177	0
3423408	0.15898933	0
3752881	0.15808658	0
3027449	0.15791552	0
3420585	0.15787357	0
3361053	0.15751071	2
1994028	0.15747039	2
3099620	0.15684389	0
2943156	0.15670176	0
3629350	0.15649967	0
2925360	0.15580176	0
2726558	0.15510286	0
3324738	0.15484585	0
3704401	0.15475751	0
2830980	0.15453525	0
2878698	0.15380713	0
3555588	0.15350227	0
3488385	0.15309164	0
3491047	0.15295044	0
3212428	0.15278034	2
3235997	0.15260397	0
2877227	0.15223788	0
2733972	0.15163852	0
3341425	0.15126479	0
3327834	0.15099938	0
3722906	0.15058671	0
3638501	0.15053469	0
2797382	0.15032941	0
3590500	0.15010351	0
3804995	0.14954433	0
3665125	0.14920211	0
2769473	0.14911008	0
3097588	0.14908618	0
3670530	0.14890167	0
3030055	0.14880958	0
2779349	0.14868188	2
3121584	0.14858939	0
3499282	0.14856686	0
2858115	0.14846943	0
3833481	0.14822584	0
3820495	0.14783159	0
2726513	0.14772852	0
3163221	0.14767012	0
2739551	0.14732826	0
2293969	0.14725174	2
3663320	0.14673579	0
3417959	0.14652771	0
2782189	0.14619897	2
2908785	0.14598921	0
2914369	0.14582115	0
3148480	0.14523475	0
2276892	0.14476082	2
3485402	0.14446518	0
3671280	0.1444248	0
2799065	0.14441198	0
3569897	0.14400998	0
3542306	0.14341982	0
