pmcid	score	relevancy
3184713	0.28485137	0
3670525	0.2688165	0
3108320	0.26606488	0
3533459	0.23727994	0
3876013	0.23477304	0
2365968	0.23064673	0
3229059	0.22026646	0
2792863	0.21939167	0
2873453	0.21930735	0
2739158	0.21740326	0
3787617	0.2148976	0
3290187	0.21357226	0
3371531	0.20500246	0
3101735	0.20364305	0
3877581	0.20131122	0
3860035	0.19868892	0
3443661	0.19669738	0
3817756	0.19661663	0
3889310	0.19553185	0
3635634	0.19327784	0
3401767	0.19171181	1
2840913	0.18969896	0
3132932	0.18840924	0
2852748	0.18796332	0
3878479	0.18687923	0
3881447	0.1867248	0
3481419	0.18582578	0
3700494	0.18453762	0
3679696	0.18425143	0
3294399	0.18394728	0
2906497	0.18364704	0
3447652	0.18185571	0
2939514	0.18176962	0
3778789	0.1816525	0
3657224	0.18121836	0
3419122	0.17886333	0
3555380	0.17843458	0
3524676	0.17760919	0
3665880	0.17721681	0
3248587	0.17656276	0
3789905	0.17621988	0
3830836	0.17597833	0
3810558	0.17557807	0
3417860	0.17553686	0
2740090	0.17505172	0
3752477	0.17495975	0
3299326	0.17495431	0
3821110	0.17433715	0
3500067	0.17310853	0
2829622	0.1729204	0
3401135	0.17290866	0
3684080	0.17198321	0
3853603	0.1718591	0
3603123	0.17180663	0
3420376	0.17018478	0
3514192	0.16965827	0
3227237	0.16424748	0
3094681	0.16249727	0
2851121	0.16223778	0
3529232	0.16139783	0
2453643	0.16125067	0
3145465	0.1611896	0
3853898	0.16071597	0
2856400	0.15818371	0
2827062	0.15805562	0
3679987	0.15756729	0
3032694	0.15681733	0
3499307	0.15609859	0
3443649	0.15597361	0
3505767	0.15565737	0
3108543	0.15539725	0
3109836	0.15521592	0
3509389	0.15336885	0
3581257	0.15323475	2
2847699	0.15302853	0
2767137	0.15296794	0
3713321	0.1529117	0
3326847	0.15277	0
3699953	0.152768	0
3390118	0.15275007	0
3046560	0.15255062	0
2561009	0.15245195	0
3665879	0.15222698	0
3596912	0.1520955	0
3665244	0.1520511	0
2914084	0.15158679	0
3760298	0.15143934	0
3697219	0.15108703	0
3884177	0.15095055	0
3783730	0.15091713	0
3320538	0.15055475	0
2933896	0.14997189	0
2740343	0.14859354	1
3097544	0.14847174	0
3759774	0.14843044	0
3199417	0.14834368	0
3696248	0.14797288	0
3713307	0.14795122	0
3296298	0.1474037	0
3141698	0.14730164	0
3191848	0.14701162	0
3696247	0.14665155	0
3030027	0.14562717	0
3479950	0.14525859	0
3662920	0.14505072	0
3394864	0.14486744	0
3479949	0.14475454	0
2763732	0.14286949	0
3389875	0.14270407	0
2929622	0.14265254	0
3371528	0.14241673	0
2999614	0.14189963	0
3573796	0.14180072	0
3541700	0.14118104	0
3085068	0.14095177	0
3225573	0.1403195	0
2775875	0.14019081	0
2726553	0.14006902	0
503388	0.13999327	0
2329656	0.13968913	0
2994881	0.13968082	0
2697592	0.13963005	0
3522317	0.13932316	0
3519250	0.13895012	0
2700617	0.13873939	0
3047986	0.13870475	1
2840896	0.1386713	0
3778233	0.13745429	0
3830833	0.13716765	0
3253404	0.13714567	0
3834703	0.1366406	0
2834752	0.1364164	0
2784587	0.13566488	0
3325862	0.13565186	0
2693828	0.13554844	0
2782212	0.13549456	0
2833776	0.13525535	0
2919991	0.13510709	0
2733971	0.134908	0
2693835	0.13490456	0
3770039	0.13476712	0
3259500	0.13384035	0
2887898	0.1324914	0
2992207	0.13204245	0
3667310	0.13196681	0
3267056	0.1318062	0
2940264	0.13177018	0
3546197	0.13165474	1
3699928	0.13119437	0
3382416	0.13074404	0
3749590	0.13073587	0
3375150	0.13035542	0
3749113	0.13031064	0
3152183	0.130032	1
3745119	0.12972826	0
3623460	0.12941445	0
2729302	0.12919722	0
3020603	0.12870364	0
2412891	0.12812072	0
3192522	0.1279022	0
1586213	0.12772852	0
3383153	0.12772584	0
3169496	0.12772085	0
3632172	0.1275357	1
3503277	0.12746161	0
2740183	0.12714002	0
3555379	0.12687099	0
2442120	0.12684582	0
3130997	0.1262608	0
3818773	0.12606108	0
2983030	0.12606104	0
1963326	0.12577169	0
3051894	0.12575716	0
61032	0.12542883	0
3012837	0.12539372	0
2858844	0.1252673	0
3282934	0.12501112	0
3324737	0.124910794	0
3447825	0.12489961	0
2740182	0.12454351	0
3129957	0.12440439	0
3560943	0.123628505	0
3570945	0.123550296	0
3537269	0.12322628	2
3607930	0.12317746	0
3041762	0.12314072	0
2859477	0.122995555	0
3657222	0.122624874	0
3839833	0.12236893	0
3849315	0.12168784	0
3437640	0.121612936	0
3730144	0.121596314	0
3173014	0.12131563	0
3329004	0.120933026	0
3766782	0.12080636	0
3385316	0.12075964	0
2856382	0.12053679	0
2565667	0.12051311	0
3166022	0.12037402	0
3459610	0.12027352	0
3557981	0.12024201	0
3199427	0.11995775	0
3834720	0.11981093	0
2923782	0.119410984	0
3663347	0.11939507	0
3658220	0.119329005	0
1779268	0.119265676	0
2442424	0.11911286	0
3743366	0.11907139	1
3276783	0.11896316	0
3006050	0.11888579	1
1959239	0.118843205	0
3482081	0.11879088	0
3052714	0.1187663	2
2994518	0.11836264	0
2672274	0.11834933	0
3051127	0.11831835	0
3587677	0.11815176	0
3337735	0.117859505	0
3052193	0.117768355	0
3808107	0.11744064	0
2838226	0.11739797	0
3658260	0.11710958	0
2596792	0.11667565	0
2767145	0.11640736	0
3760952	0.116144694	0
3611060	0.11601812	0
3147088	0.11573516	0
3339713	0.115599655	0
2880967	0.11547785	0
3665865	0.11542074	1
3236134	0.11537557	0
3590977	0.11509549	0
2248288	0.11460155	0
3806357	0.11456989	1
2705158	0.11440057	0
3411405	0.11430346	0
3520703	0.11429218	0
3193573	0.11427179	0
3752475	0.1141299	0
3495385	0.114123344	0
3298220	0.11392695	0
2823760	0.11390456	0
3056362	0.11386999	0
3724890	0.11370185	0
3663388	0.11368877	0
2700246	0.11337536	0
2800872	0.11304291	0
3378935	0.11281774	0
2895206	0.112506524	0
3043410	0.11247594	0
3745288	0.11209524	0
3785158	0.11104635	0
3362964	0.11089258	0
3542105	0.110750236	0
3162268	0.1106441	0
2613589	0.110443026	0
3495379	0.11037984	2
1501116	0.11023829	0
3205498	0.11022679	0
3410075	0.11020721	2
3415156	0.110102884	0
2693868	0.11008734	0
3738259	0.109991334	0
2621408	0.10994232	0
2845378	0.10976342	0
3108522	0.10960469	0
3610292	0.109405726	0
2831243	0.109399304	0
2822256	0.10936379	0
3189474	0.10913072	0
3420415	0.109095275	0
3629344	0.10903889	0
3103558	0.108857855	1
2669075	0.108814664	0
3162280	0.108772025	0
3519260	0.10860299	0
3221233	0.108508915	0
2853650	0.10846087	0
3198116	0.10829144	0
3229957	0.1081972	0
2886258	0.108164385	0
3599449	0.108046256	0
3607989	0.10782734	0
3481924	0.107823275	0
3276791	0.10743283	0
3786971	0.10727814	0
2740344	0.10726358	0
3229068	0.10719063	0
3407032	0.107130215	0
2946589	0.106991254	0
2797977	0.10696818	0
2822318	0.1067571	0
3633295	0.10644742	0
3310784	0.10590552	0
3276811	0.10574867	0
3111099	0.10566474	0
3477554	0.10566137	0
3108775	0.10536749	0
3081469	0.105330445	1
3350198	0.105037674	0
3169333	0.10475587	0
3681113	0.10469363	0
3332074	0.10457183	0
3385397	0.10446724	0
3843570	0.10443482	0
3464078	0.104303166	0
3195534	0.10404817	0
2699731	0.10386455	0
2904264	0.103780426	0
3284842	0.10354751	0
2245960	0.10348387	0
3283856	0.10298235	0
317368	0.102828406	0
2797382	0.102822736	0
3691475	0.10265484	0
2432047	0.102537945	0
2045104	0.10205071	0
2740253	0.10199952	0
3276784	0.101987995	0
3180413	0.10196256	0
3434429	0.10193579	0
3833481	0.10192728	0
3150201	0.10173678	0
2740163	0.10155208	0
3273725	0.10146721	0
3385281	0.101224884	0
2984455	0.10062539	2
3488899	0.10038257	0
2740280	0.100178085	0
3567970	0.10016693	0
3198754	0.09934454	0
3429954	0.09903228	0
3163609	0.098577894	0
2323000	0.09852589	0
2984337	0.098197825	0
3168814	0.09788918	0
3606758	0.09786605	0
3591297	0.09777511	0
2799065	0.097724624	0
2782169	0.09767802	0
3883088	0.09751211	0
2627528	0.09744788	1
3504246	0.09730999	0
2737765	0.09729615	0
3740616	0.09718932	0
2646027	0.09717567	0
2895205	0.097105	0
3699537	0.09707281	0
2687677	0.09705817	0
2503996	0.097051226	0
2952802	0.09696246	0
3269978	0.096856646	0
3420725	0.09684741	0
3495376	0.096829295	0
1559691	0.09681833	1
3284289	0.096352644	0
3671228	0.096258126	0
2654541	0.096009836	0
2857874	0.09578301	0
3053735	0.0956842	0
3495392	0.09561838	0
3716030	0.09556208	0
2374881	0.09529172	0
3602200	0.09500032	0
3833478	0.09470367	0
3843908	0.09453224	0
2774628	0.094277166	2
2994431	0.09422881	0
2565700	0.09419595	0
1266355	0.09409981	0
2806395	0.094078526	0
3309375	0.094015025	0
3889325	0.094012976	2
3088942	0.093635865	0
2807152	0.093581356	0
2852764	0.09356614	0
2373287	0.093513496	0
3497216	0.093434565	0
3500919	0.093168296	0
3725923	0.09316749	0
3108582	0.09304545	0
3492086	0.09300243	0
3272791	0.09289517	0
3162281	0.09274484	0
3673859	0.09265134	0
3784859	0.092520624	0
3290257	0.09246989	2
2186339	0.0924255	0
3735483	0.09232475	0
3752484	0.091857426	0
2844818	0.09170143	0
3797949	0.09166143	0
3800884	0.0915897	2
3094007	0.09151853	0
3819292	0.091149524	0
2783149	0.09103045	0
3756199	0.090821676	0
3048580	0.09078832	0
3664483	0.09077542	0
3198605	0.090580426	0
3407612	0.09029856	0
3199434	0.09006555	0
2831607	0.08971073	0
3352644	0.08969877	0
3195171	0.08955911	0
3014962	0.089541234	0
3657239	0.08933581	0
3430071	0.08928129	0
1781427	0.08918661	0
2784973	0.088975795	0
3627706	0.08883499	0
3787648	0.088794984	0
