pmcid	score	relevancy
3531257	0.22102948	0
2785826	0.21793433	2
2363236	0.204089	0
3700241	0.2007016	0
2912127	0.19976458	0
3880166	0.19909348	0
2732267	0.1986339	0
3480172	0.19628808	0
2678120	0.18839143	0
3785345	0.18738282	0
3271214	0.18597293	1
2693554	0.18534768	0
3832642	0.1843569	0
3371985	0.1837127	0
3717067	0.18122444	0
2693508	0.18108675	2
3034940	0.17903943	0
1440864	0.17621331	0
2644609	0.1757087	0
2879845	0.17500915	2
1318457	0.17428672	1
3082828	0.17397274	0
3672507	0.17318398	0
3369420	0.17249537	0
2908644	0.17207308	0
2771838	0.17149492	1
2845931	0.17117143	0
3649159	0.17068434	0
3503952	0.16963448	1
1890567	0.16858207	0
3694111	0.16633363	0
2814195	0.16629514	0
3009659	0.16566014	2
3177940	0.16487612	1
3765937	0.16480672	0
3751742	0.16343373	0
3480049	0.16304223	0
3759770	0.16243313	1
2699708	0.16169983	0
3129061	0.16148244	1
2740048	0.16147698	0
2929516	0.1613922	2
2546416	0.16125052	0
2912126	0.16076061	1
3275563	0.16030796	0
3564478	0.1602549	0
3418340	0.16018315	0
3194078	0.15969379	0
3724576	0.15941104	2
3821432	0.15879981	0
3713301	0.15856215	1
2533017	0.15839688	0
3383136	0.15795112	0
3765337	0.15745406	0
2872341	0.15703985	0
3481628	0.1567821	0
3791957	0.15621297	0
3883066	0.15575844	0
3420511	0.15401618	0
3667015	0.15378885	0
2841420	0.1536374	0
3029818	0.1523072	2
3781223	0.15196662	1
2253537	0.15157501	1
3480120	0.15105337	0
3549382	0.15036945	0
3137978	0.14941302	0
3374763	0.1493817	0
2213673	0.14934403	1
3343169	0.14898594	0
3037985	0.14866933	0
2687594	0.14866853	0
3078483	0.14863813	0
2781734	0.1485475	0
2206034	0.14846627	2
2755149	0.14842477	0
3473978	0.1481484	1
3860462	0.14768764	0
2972439	0.14758419	0
2636788	0.14722894	1
2978398	0.14720523	0
1824716	0.14657463	1
3603204	0.14612637	1
3860552	0.1460994	0
3606611	0.14549457	0
3168502	0.14534135	0
3687867	0.14514111	0
3420730	0.14451058	1
3438402	0.14406437	0
3491320	0.14320426	0
3860565	0.14300317	0
2365965	0.14207408	0
1112589	0.1419522	0
2491654	0.1417532	0
1621058	0.14133517	0
2819787	0.14083363	0
2689248	0.1407597	0
3171384	0.14066091	0
3496703	0.14021355	0
3073801	0.1399017	1
2854953	0.13981396	0
3221562	0.13928953	0
3249167	0.13862874	0
3850722	0.13773632	0
3692830	0.13710046	0
2929428	0.13683671	0
1456978	0.13682865	0
3704905	0.13586523	0
3893325	0.13563427	0
2854446	0.13546112	0
3385649	0.13448712	0
3728525	0.13379587	0
1586011	0.13369873	2
3217879	0.13349694	0
3825950	0.1333923	0
2740099	0.13327664	1
2924849	0.13314095	0
2900094	0.13308674	0
2872351	0.13289055	0
3049576	0.1325113	0
2585102	0.13243376	0
3879513	0.13223527	1
3448088	0.13218927	0
3469037	0.13179791	0
2924548	0.13086483	0
2483449	0.13030393	0
3184009	0.13026749	0
2565735	0.13022168	0
3833481	0.1299527	0
3792598	0.12937252	0
2780610	0.12878388	2
2270269	0.12792605	0
3009646	0.12742381	0
2833302	0.12739725	1
3170827	0.12733765	0
3873065	0.12680401	0
3635227	0.12649725	0
3088747	0.1262874	0
3590497	0.12596999	0
2033726	0.12573329	0
2944375	0.1257293	0
3660277	0.12562113	0
3527059	0.12509212	1
3649142	0.12494774	1
3539458	0.124479376	0
3438426	0.12443612	1
2893173	0.12434929	0
3015975	0.12380231	0
3666304	0.12377404	0
3813675	0.123542935	0
3859893	0.12327678	0
2872328	0.12316442	0
3309245	0.12312991	0
2840960	0.12290926	0
1702536	0.1228767	0
3422903	0.12285543	0
3350132	0.12251299	0
2702915	0.12238848	1
3843305	0.12203851	0
3184257	0.12174216	0
3426263	0.121711396	1
1977652	0.12160593	0
3861854	0.1215717	0
3403856	0.12153561	0
3530453	0.12121179	0
2449239	0.12108404	0
3433181	0.12108103	0
3201001	0.12097725	0
3512371	0.120617054	1
2717923	0.120476246	0
3271698	0.120409265	0
2072848	0.12019711	0
2852784	0.12007578	1
3853113	0.12004575	0
2634686	0.1198853	1
3059647	0.119480014	0
3856280	0.119331196	0
3446014	0.11932563	0
3201108	0.11893422	0
2945469	0.11890336	0
3392266	0.1188789	0
3400824	0.118821956	2
3348087	0.118008256	0
3792501	0.11776003	0
2415357	0.11757275	0
3558373	0.11745874	0
3860496	0.11743493	0
1762052	0.11729951	0
3525250	0.11690528	0
2846331	0.116848625	0
3700996	0.11676678	0
3252781	0.11663172	0
2430546	0.11652942	1
3862140	0.11609367	0
3600510	0.11595197	0
3075163	0.11580888	0
3852767	0.115773104	0
3197660	0.115752056	0
2556315	0.11567114	0
2762186	0.115662746	1
3887506	0.11531841	0
3715978	0.11519877	0
3417687	0.11453582	0
3717101	0.114419475	0
3400883	0.11440633	0
2988177	0.114246726	0
2912115	0.11388968	0
1904196	0.1137452	1
2174511	0.11368556	0
3043446	0.11306477	0
2405793	0.11305523	0
3840139	0.112599835	0
3610680	0.112068616	0
2394307	0.112051405	0
3541572	0.1115854	2
3535810	0.11156015	0
3764657	0.111476466	0
2740017	0.11141202	1
3153853	0.1113501	0
3320007	0.11127387	0
3646776	0.11118065	0
2669865	0.11093019	0
2360085	0.11054992	0
3549204	0.11009724	0
3425902	0.109996244	0
3679119	0.10986178	0
3016829	0.10982078	0
3586077	0.109498516	0
3143923	0.10948803	0
3571436	0.10914328	0
3315826	0.109138496	0
2656493	0.10850802	0
2658866	0.10849005	0
2570197	0.108174555	0
3337669	0.108106144	0
3636818	0.107988164	0
3871751	0.107691586	0
2825313	0.10725202	1
2746183	0.107235305	0
3616010	0.10616658	0
1475844	0.10600005	1
2639567	0.10587337	1
3236007	0.10573248	0
2231341	0.10560908	0
2263060	0.10541644	1
3609961	0.10533157	0
3409867	0.10532004	0
3479247	0.1052653	0
2898022	0.10522448	0
3078239	0.10519248	0
2682454	0.10474884	0
3859168	0.10465735	0
3735381	0.10455522	0
3409515	0.10402899	0
3539876	0.10400729	0
3420783	0.10391279	1
2259431	0.1039062	0
3844443	0.10374313	0
2976729	0.10374058	0
3435900	0.10362176	0
1180860	0.10354144	1
3821225	0.103388995	0
3417093	0.10321965	0
3151233	0.10303188	0
3668800	0.10281888	0
3250651	0.102739975	0
2989381	0.10253679	0
3350176	0.10246325	0
2602996	0.10241201	1
3552828	0.10241042	0
2804043	0.102052994	0
3791337	0.10204122	0
3870306	0.1016385	0
2765173	0.10145395	0
2726930	0.10145344	0
3087677	0.100983635	0
3085971	0.10077041	0
3816191	0.10073867	0
2633003	0.10049267	0
3047987	0.10048704	0
3806675	0.100475736	0
3641969	0.10043687	0
3479252	0.100284696	0
1936995	0.10011069	1
3241333	0.10000349	0
3553533	0.09999424	0
3502822	0.09987335	0
2915662	0.09985827	0
3853387	0.09980994	0
3271961	0.09973616	0
3686575	0.099628955	0
3539550	0.09958347	0
3052714	0.09953669	0
3485663	0.09946293	0
2137136	0.09933031	0
3678466	0.099133335	0
3710512	0.098986275	0
2784762	0.098899	0
3162760	0.09882339	0
2151774	0.09871519	0
3751751	0.09854329	0
2323545	0.09814738	0
