pmcid	score	relevancy
2884455	0.5595302	2
3097809	0.37176937	2
2908674	0.35639605	2
2588583	0.33871475	0
3369119	0.327544	1
3099610	0.32142472	2
2766886	0.30395877	2
3430087	0.30368572	2
3818784	0.29140532	0
1198256	0.27659747	0
3625880	0.2754812	0
3719296	0.2739134	1
3215545	0.27349034	0
3866077	0.27119577	0
3361201	0.26470134	2
3614797	0.25926897	1
3019596	0.25617203	2
2767137	0.24517867	2
3205660	0.24338153	2
3628456	0.2396647	2
2766898	0.23821132	2
3825977	0.23670286	0
3052620	0.23386632	1
3480933	0.2270609	0
3364650	0.2254358	0
3780706	0.22486854	2
3014817	0.2246739	2
3424655	0.21826579	0
3419394	0.2142804	0
3043563	0.2129861	0
2963752	0.21088356	2
156624	0.21059701	0
2693868	0.20725293	0
3415088	0.20490845	0
3787639	0.2046925	0
3730194	0.20377707	0
3825982	0.20329587	0
3162982	0.20289713	0
3531040	0.2025768	0
3662739	0.20191163	0
3237206	0.20170829	0
3163653	0.199383	0
2941598	0.19767052	2
2800936	0.19730653	2
3444845	0.19724505	1
3348033	0.19515413	0
3148597	0.19442713	2
2640409	0.1915273	0
3094260	0.18991272	2
3000417	0.18954642	0
3398080	0.18883201	0
3015801	0.18819408	0
3180421	0.18738529	0
3015361	0.18624435	0
3604837	0.18546179	0
3335639	0.18484874	0
3100577	0.18405193	0
3719271	0.18380156	0
3522359	0.18343136	1
3502786	0.18320076	0
2700683	0.18313414	2
3687153	0.18188587	0
3350117	0.18183401	0
3821232	0.18160127	0
2938513	0.18158026	1
3745887	0.18116276	0
3283056	0.1801621	0
2726514	0.17997192	2
3862308	0.17837563	0
3789904	0.1772664	0
3749061	0.1769394	0
3848245	0.17682582	0
3502812	0.17671546	0
3733704	0.17638855	0
3261489	0.17610224	0
3407432	0.175792	0
2806401	0.17521039	2
3596679	0.17519492	0
2963121	0.17484625	2
3043439	0.17466024	0
3728876	0.17464693	0
3549390	0.17451012	0
3543180	0.17435099	0
3097598	0.17388283	0
3539596	0.17367955	0
3789311	0.17314339	0
3712208	0.17054963	0
2804732	0.16924176	0
3519057	0.16889739	0
2744771	0.16841125	0
2809077	0.16736755	2
2926674	0.16695577	0
3634207	0.16681243	0
2938501	0.16597746	0
459232	0.16530928	0
2700241	0.16507834	2
3719309	0.16294819	0
3335711	0.16237187	0
3531039	0.16175938	0
3304266	0.16080672	0
2816301	0.16039869	2
2718206	0.15978707	1
2700674	0.15953736	0
2649930	0.15890796	2
2930290	0.15883248	1
3728878	0.15822703	0
3030804	0.15779488	0
2990894	0.15775804	2
3493838	0.1577223	1
3507754	0.15719351	0
2737786	0.15709652	1
3139186	0.15665835	0
3659468	0.15629125	0
3671678	0.15608683	0
3742155	0.15483484	0
3348525	0.15430558	0
2948321	0.15427555	0
3298201	0.1542733	0
3236393	0.15384762	0
3314562	0.15337546	0
3066713	0.15334827	2
3097688	0.15317824	0
3329089	0.15281557	0
3437081	0.15257968	0
3783812	0.15210849	0
3016127	0.15164018	0
3747426	0.15153064	0
3789895	0.14921492	0
2971715	0.14898919	0
3799716	0.14879613	0
3205541	0.14862053	2
3304276	0.1473697	0
3575620	0.14703223	0
3502792	0.1469928	0
59895	0.1460036	0
3614675	0.1451817	0
3818613	0.1448867	0
3148888	0.14464822	0
2700584	0.14388737	0
2726508	0.14347751	0
3097770	0.14343004	0
3335546	0.14316443	0
3407435	0.1428998	0
3041052	0.14286157	0
3649179	0.14266862	0
2993706	0.14219521	0
3353198	0.14165433	0
3702243	0.14093491	0
3016819	0.14041561	0
2713849	0.13938501	2
3310351	0.13921173	0
3205779	0.13861072	2
3535796	0.13833079	0
3225467	0.13743593	0
3304256	0.13716465	0
3683194	0.1370298	0
3015759	0.13663481	1
2747450	0.13649243	0
3873172	0.13542524	1
3746308	0.13516787	0
3614378	0.13515413	0
3015447	0.13514602	0
1913924	0.13493137	0
3156502	0.13484018	0
3702068	0.13483904	0
3728865	0.13463889	0
3016023	0.13234194	0
2737761	0.13230819	2
3713583	0.13217649	0
3302016	0.13207777	0
3618104	0.13197169	0
3043456	0.13190655	0
3304281	0.13149132	0
3676995	0.131201	0
3600265	0.13078983	0
3097768	0.13052024	0
3888003	0.13043202	0
3852859	0.13032979	0
2729468	0.1303161	2
3016001	0.12990054	1
3493829	0.12967439	0
1934908	0.12926547	0
3432328	0.12838788	0
2878686	0.12832876	1
2970787	0.12802006	0
3162726	0.12771262	1
1475650	0.1274514	0
3170348	0.12698954	0
3475944	0.12663075	0
3866672	0.12641558	0
2626783	0.12632939	2
3409542	0.1263016	0
3472540	0.12623852	0
3161682	0.12566899	0
3693925	0.12554023	0
1904435	0.12524226	0
2628006	0.12520635	0
2098769	0.12501246	0
3263230	0.12490369	0
3690676	0.124769345	0
3335484	0.1246585	0
3684085	0.12413345	0
3214510	0.12393916	1
1502130	0.12378883	0
3838404	0.12374885	0
3859019	0.12338732	0
2754658	0.123143286	0
3702061	0.12308285	0
2726540	0.12223351	2
3129104	0.122021474	2
3217843	0.12171154	0
3881498	0.121549904	0
3015834	0.12098102	0
3556020	0.12092804	0
2698057	0.12085086	0
3498648	0.12025707	0
3639707	0.11997532	0
1784608	0.11994754	1
3399219	0.11976133	0
3150205	0.11962549	0
3651717	0.11943452	1
3335596	0.11914342	0
3702062	0.11892075	0
2778945	0.11733586	2
3347651	0.11687083	0
3111156	0.116847776	2
2801018	0.11679354	0
3304289	0.11678549	0
3204688	0.1166385	0
2449186	0.11660178	2
2693837	0.11615729	0
3847484	0.11615671	0
3679720	0.11605341	0
3692029	0.116006136	0
2921813	0.115912735	2
1164436	0.11558599	0
3001446	0.11523879	0
3699154	0.11503238	0
2729904	0.11496187	0
3015288	0.11479382	0
1832178	0.11469294	0
2724421	0.11468275	0
3783665	0.11453936	0
2698209	0.11427683	0
3376497	0.114090934	0
2823093	0.11407255	0
2642857	0.1138157	0
2769446	0.1137439	2
3424659	0.11371451	0
3304262	0.11292408	0
3021277	0.11227149	2
3850663	0.1121058	0
2718201	0.11198999	0
3015398	0.111521535	0
3880005	0.11138533	0
3350450	0.11036111	0
2672247	0.10946871	1
3003679	0.10943712	0
3340954	0.109423086	1
3760260	0.10923469	0
2886082	0.108161904	0
2630042	0.10695465	0
3734720	0.10659609	0
3785158	0.10651618	0
3135046	0.10615757	0
3646223	0.10615231	1
3804365	0.10613969	0
3015487	0.1059552	1
3788829	0.104894556	0
2655295	0.10484346	0
2435545	0.10479273	0
3751251	0.104605965	0
2852863	0.10395231	0
3289784	0.10350487	0
3015594	0.10264983	0
2672301	0.10264568	0
2918627	0.10249739	0
3195536	0.10229464	2
3304279	0.10226228	0
3563625	0.10218109	0
2697319	0.102004275	0
3589611	0.10194334	0
3773424	0.1017704	0
3468117	0.10172961	0
3431058	0.1015797	0
3267071	0.101548254	0
3213743	0.10146709	0
2790738	0.1012998	0
2766875	0.10127129	2
3469387	0.101191185	0
3653542	0.10103851	0
3677018	0.10100506	0
3605968	0.101004004	0
3771809	0.10089486	0
3156516	0.100786485	0
3249850	0.10078536	0
3236427	0.10075166	0
2700684	0.10073406	0
3516685	0.09982526	1
3015867	0.09965516	0
3056215	0.099188946	2
3799706	0.09897774	0
3791844	0.0988498	0
3530760	0.098786145	0
3318241	0.09863972	0
3697224	0.09843517	0
2791738	0.09812833	2
3113861	0.09781776	0
2890908	0.097775064	0
1208937	0.09749032	2
2782171	0.097052254	1
2817394	0.0967916	0
1791015	0.09657448	0
3784102	0.09652536	0
1581463	0.09626094	0
3843336	0.096107066	0
3822024	0.09597676	0
3659907	0.09584741	0
3212982	0.09529088	0
2908657	0.09525086	0
3504950	0.09518945	0
3493842	0.09496195	0
3457596	0.09474527	0
3662738	0.094699994	0
3477658	0.094331734	0
3015996	0.094305344	0
2799065	0.09401382	0
3874942	0.09367446	1
3018959	0.09316683	2
3425143	0.09312991	0
3321462	0.09298582	0
2724187	0.09296609	0
2670306	0.0928169	0
3719119	0.0926187	0
2709639	0.09250217	1
3043591	0.09208876	0
2944173	0.0920863	0
3021298	0.09206968	0
3822354	0.092011474	0
3521269	0.09198257	0
3335627	0.09183675	0
3449135	0.0913943	0
3776937	0.09119991	0
1368996	0.09118563	0
2794498	0.09091099	0
3304271	0.090899095	0
3568470	0.09084596	0
2596792	0.09079889	0
2270857	0.09073747	0
3573503	0.09064952	0
2672280	0.09058083	0
2169208	0.09056751	0
2971735	0.09051752	0
3557185	0.09038485	0
3100269	0.09029441	0
1282573	0.09015246	0
3604615	0.08982494	0
3562058	0.08956872	0
3325348	0.08952518	0
3234607	0.089435935	0
3196963	0.08938158	0
2803824	0.089219	0
2782204	0.08909818	1
3162708	0.089016646	0
3249029	0.08878403	0
3043391	0.088426776	0
3337595	0.08811479	0
2850132	0.0877914	0
2822794	0.08756158	1
3445851	0.087470494	0
3562604	0.08715412	0
3625584	0.08648388	0
3872390	0.08600161	0
2700671	0.08578414	1
2645389	0.085538715	0
1555610	0.085446194	0
3422109	0.08519078	0
3830291	0.08511181	0
3662728	0.08505084	0
1624808	0.08495649	0
3002375	0.08471152	2
2967696	0.08469279	0
3316966	0.08427941	0
3437059	0.083934575	0
1896172	0.08379111	0
2827162	0.08337559	0
3191936	0.08325649	0
3206367	0.083253786	0
3351993	0.083049245	0
1166574	0.082995266	0
2827085	0.08295358	0
2942803	0.08291496	0
3151509	0.08228258	0
2700676	0.08189923	0
3702069	0.081842914	0
3184057	0.08176788	0
3015616	0.08156668	0
2217555	0.081245266	0
2647525	0.081233196	0
3306913	0.08104112	0
1188074	0.080666155	0
3400924	0.08051717	0
2219959	0.080273725	0
2345467	0.08023867	0
1831562	0.08022541	0
1592140	0.07948966	0
3614322	0.07940913	0
3262143	0.07938934	0
2822309	0.07929679	0
3015464	0.079190016	0
3396873	0.07916995	0
3789312	0.07889567	0
1769412	0.078671455	0
3531939	0.07862236	0
3237174	0.078325994	0
3797952	0.07794162	0
3087156	0.07791016	0
305338	0.077690065	0
3682695	0.07766905	0
3169892	0.07727783	0
2770406	0.07722808	0
3171096	0.077089965	0
2395266	0.076803274	0
3226616	0.07672628	0
3433566	0.076539315	0
2133405	0.07618053	0
3015636	0.075679824	0
3830327	0.075481616	0
3787093	0.07493382	0
3714388	0.07474844	0
2970786	0.07449625	1
2428105	0.074384674	0
3850479	0.07435087	0
3178110	0.073970586	0
3659905	0.07369873	0
2518156	0.073009804	0
1942180	0.07297415	0
2710492	0.0729244	0
3152170	0.072850235	0
2848680	0.072790496	1
2694199	0.07267821	0
3505635	0.07232446	0
2847726	0.07204225	0
2735164	0.071820244	0
1079913	0.07171609	0
3583074	0.07171254	2
2700687	0.07164181	0
2795733	0.071626015	0
2861009	0.071567364	0
3201605	0.07153916	0
3640153	0.071536645	0
155642	0.07152918	0
3498754	0.07144918	0
3570271	0.07141578	0
3304290	0.0712615	0
3556165	0.07108978	0
3722006	0.070811525	0
2876108	0.07074308	0
3021262	0.07074261	0
1581470	0.070152484	0
2397531	0.07004093	0
2698088	0.06968787	0
3633019	0.06966248	0
3283619	0.06965463	0
3521416	0.0695741	0
3792537	0.069528595	0
3884602	0.06926078	0
3436697	0.06903844	0
1803779	0.06901161	0
3409923	0.06900831	0
3733741	0.06852124	0
3113161	0.06847032	0
3665546	0.06846965	0
3074283	0.06833817	0
1538579	0.06828863	0
1764008	0.06811889	0
3806153	0.06792054	0
2730560	0.06787915	0
2695461	0.06781617	0
3496585	0.067591764	0
3819678	0.06738035	0
3350201	0.06737884	0
2275724	0.06700597	0
3183722	0.0668844	0
3814932	0.06675747	0
3851001	0.06646727	0
3015382	0.06587813	0
2775033	0.06572808	0
2678139	0.065380365	0
3082229	0.06518994	0
3015918	0.065066665	2
1769382	0.064912446	0
2702400	0.064851485	0
3517744	0.06482041	0
3090124	0.064777955	0
3002374	0.0644892	0
1581458	0.06445746	0
3702063	0.064347185	0
2763729	0.0643072	0
2893321	0.06420904	0
2222594	0.06412212	0
3188582	0.06406072	0
3320159	0.06397548	0
2600205	0.06394815	0
2631604	0.0638576	0
2448199	0.06359047	0
3740785	0.063316986	0
3575664	0.063239686	0
3640158	0.06312106	0
2642832	0.06289801	0
3814079	0.06284306	0
1185645	0.06264536	0
3636525	0.062456533	0
3214386	0.0623988	0
3309957	0.062368732	0
2850842	0.06225679	0
2635124	0.06218592	0
3261233	0.062179968	0
3572638	0.061953768	0
3015816	0.061891176	0
2840968	0.061873894	0
3761953	0.061832987	0
1994710	0.0617674	0
3086162	0.061487917	0
3274453	0.061459564	0
3364193	0.06136256	0
1533809	0.06115668	0
2769416	0.061138082	0
3814804	0.061122846	0
2241597	0.06100076	0
1082912	0.06090341	0
2740022	0.060803946	1
3364639	0.06008098	0
3410771	0.06004128	0
3751076	0.059896953	0
3809254	0.059821807	0
3477709	0.059627734	0
3860662	0.05959529	0
2667437	0.059441105	0
3481396	0.059404034	0
3043431	0.059379414	0
3407431	0.059254166	0
3015424	0.059183627	2
2994439	0.059059996	0
2803839	0.059014704	0
1513580	0.058859795	0
2672226	0.058715466	2
3166068	0.058679547	0
3413953	0.058551513	0
2672220	0.058434464	0
2346482	0.058274563	0
3121279	0.058217455	0
3625888	0.05781433	0
3180661	0.0576952	0
3653680	0.05757058	0
3671968	0.057510268	0
3679696	0.057269096	0
1779609	0.057213306	0
2496697	0.057146333	0
3853875	0.057089258	2
3180603	0.056702375	0
2827146	0.056632884	0
3208820	0.056579288	0
2193324	0.056569908	0
3695270	0.056396227	0
2679411	0.056363966	0
3016207	0.056295607	0
3530310	0.056100287	0
3742153	0.05604778	0
2835646	0.05587059	0
2627270	0.055701397	0
64494	0.05568871	0
3701608	0.055673566	0
2882051	0.05564275	0
3854342	0.05551652	0
152645	0.05504575	0
3273697	0.05494712	0
3751105	0.05490095	0
