pmcid	title	abstract	body	relevancy
3662144	8.493068	4.260759	2.504577	0
3435916	7.8380847	3.6296198	2.0962844	0
3806158	7.3994436	3.339671	2.098141	2
3406938	7.176539	3.508324	2.0817893	0
3724961	6.4084654	0.0575101	1.6156303	0
3016264	6.4073057	3.1470342	1.7843668	0
3307967	6.387608	3.1263967	1.835034	0
3544356	6.2885666	3.2519155	1.9102705	1
3548361	5.7530847	0.050310023	1.5787956	0
2365966	5.747482	2.3697793	1.5521313	0
2984319	5.6909285	2.568805	1.5696929	0
3140527	5.636544	2.6613183	1.5847592	0
3354856	5.5219126	0.09324986	1.5945852	0
1440851	5.521512	2.4161327	1.4293066	0
2235827	5.2499247	2.4192073	1.3769246	0
3356853	5.246262	2.4545841	1.4107007	0
3625594	5.236072	2.258253	1.3697003	0
3205530	5.1945314	0.0965297	0.0965297	0
3491304	5.1793623	2.4925697	1.4361721	0
3827896	5.0978246	2.3177998	1.361548	0
2732598	5.0599403	2.6135826	1.5172104	0
1997123	4.874231	0.076049946	1.3690594	0
2861009	4.832391	0.06409083	1.38773	0
3887096	4.5640326	2.383464	1.3639452	0
3665179	4.25533	1.9743139	1.1123344	0
3512399	4.2522373	2.1227057	1.175259	0
2963752	4.2151628	2.0821571	1.1014476	0
3422180	4.1856246	2.0891447	1.1943506	0
3554459	4.183769	2.2013712	1.2311411	0
3536938	4.1293235	2.083125	1.1591702	0
2848664	4.1135883	0.120844305	1.2255826	0
3517569	4.0979624	2.0785935	1.1688184	0
3127004	3.947379	2.2184172	1.175646	0
3564064	3.578324	1.753056	0.9864514	0
3533057	3.5781057	1.6780058	0.9817797	0
3094005	2.814129	1.2932265	0.76205003	0
3434338	2.812991	1.3402323	0.77385724	0
3195161	2.8006978	1.2859437	0.7359663	0
3399369	2.602004	1.286016	0.73938733	0
2970787	0.770273	0.770273	0.770273	1
3004507	0.55501086	0.55501086	0.55501086	0
3683415	0.38266796	0.38266796	0.38266796	1
3510936	0.37849596	3.834141	2.4002914	0
3746308	0.3516743	4.105866	0.3516743	0
3766216	0.34772256	0.34772256	2.6392038	0
2796073	0.30877283	0.30877283	0.30877283	0
