pmcid	score	relevancy
3622346	0.3310866	0
3335656	0.28549597	0
3488388	0.24905989	1
2804036	0.24467884	0
2823093	0.23928301	0
2745147	0.23314372	0
2958974	0.23266666	0
3409401	0.22856155	0
3424868	0.22750989	0
3320293	0.22615312	0
3384962	0.22407702	0
2536182	0.22401072	0
2950136	0.22151437	0
3485486	0.22062542	0
3236138	0.22026955	1
3100118	0.21685278	0
3543541	0.21518165	0
3656703	0.21399887	0
3555573	0.21272734	0
3266655	0.21089439	0
3387584	0.20579426	0
2868877	0.20485063	0
3535729	0.20364094	0
1479389	0.20291455	0
2989737	0.2016008	0
2637917	0.20114829	1
3492078	0.19883995	0
3336229	0.19881383	0
3519017	0.19789755	0
3629711	0.19669297	1
3114546	0.19581224	1
2803987	0.19547103	0
3379929	0.19355111	0
2906941	0.19194274	2
2840827	0.18927592	2
3596900	0.18894802	0
3420703	0.18727729	0
2884340	0.18607645	0
3487017	0.1856343	0
2841744	0.18518107	0
2621130	0.18414812	0
2615269	0.18343912	0
2778448	0.18193547	0
2700440	0.17997698	0
2848143	0.17984782	0
2951541	0.17832583	0
3806430	0.1782369	0
3148888	0.17801496	0
3335556	0.17781888	0
2647170	0.17711763	0
2760696	0.17670316	0
3867333	0.1766944	0
3335558	0.17542258	0
2612756	0.17418818	1
2924860	0.1730124	0
3793431	0.17245379	2
3248865	0.17009132	0
2746232	0.16961859	0
3615918	0.16928893	0
2806397	0.1676358	0
2810605	0.16690643	0
3420636	0.16676879	0
3271399	0.16673422	0
3174928	0.16659856	0
3449190	0.16634876	0
3719282	0.16632587	1
3677011	0.16581249	0
3056330	0.1654188	0
3133515	0.16527088	0
3214451	0.16491356	0
3322896	0.16401923	0
3444913	0.164	0
3424871	0.16348983	0
3678789	0.16333543	0
3114308	0.16261224	0
3710144	0.16256714	0
3530850	0.16222441	0
2364577	0.16219528	0
3159262	0.16146965	0
2749044	0.15994036	0
3299121	0.15977514	0
2543003	0.15776142	0
2894487	0.15726402	0
3700969	0.15681487	0
3611086	0.15619567	1
2923424	0.15591872	0
2817864	0.15516347	2
3350022	0.15428644	0
3713995	0.15394512	0
2675175	0.15376005	0
3040077	0.15270813	0
3095901	0.15237123	0
3572972	0.152191	0
3259378	0.15218185	2
3180395	0.15210634	0
2957859	0.15195335	0
3441877	0.15160483	0
2738416	0.15138154	0
2769286	0.15130202	0
2997975	0.15061828	0
2700584	0.1502198	0
2824638	0.1496766	0
3601021	0.14928469	0
3335608	0.14886649	0
1804104	0.14879978	0
3678467	0.14837961	0
3466862	0.14735726	2
1065003	0.14720604	1
2783080	0.1470533	0
3881380	0.14635901	2
3759689	0.14580822	0
2987927	0.1451482	0
3685359	0.14503825	0
3198636	0.1441968	0
1283982	0.14395288	0
2945326	0.14364462	0
3378931	0.14348009	0
3420620	0.14292791	0
2911725	0.14222135	0
3114601	0.14209327	0
3446156	0.14146633	0
3132863	0.1409009	0
3849624	0.14068362	0
3161951	0.1405536	1
3612316	0.13969938	0
2222671	0.13949195	0
3608039	0.13917744	2
2803902	0.1390238	1
2827106	0.13863498	0
3716033	0.13848016	0
2778181	0.13834557	0
3311442	0.13793729	0
2938502	0.13770112	0
3075397	0.13762	0
535548	0.1373816	0
3015586	0.13702215	0
3716905	0.1370127	0
3533691	0.1361138	0
2876771	0.13601652	0
1764004	0.1359297	2
2852807	0.1357835	0
3333001	0.13564628	0
3247782	0.13507582	0
3785180	0.13341647	0
2767138	0.13339502	1
3429833	0.13338211	0
3139061	0.13277307	0
2827115	0.13217306	0
3147240	0.13147703	0
3503648	0.13114683	0
3350152	0.1310445	0
3603620	0.13069546	0
3507411	0.13027847	0
3205784	0.12996411	0
3113998	0.12990086	0
3513093	0.1295897	0
3023754	0.1294059	0
2206524	0.12919909	0
3641316	0.12908669	0
2211302	0.12896615	2
3109763	0.12893356	0
2987954	0.12890363	0
3397325	0.12884358	0
3767585	0.12864965	0
3849794	0.12837377	0
1906866	0.12836955	1
3506493	0.1279921	0
3599191	0.1278529	0
3018974	0.1273526	0
3414041	0.12719645	0
1156907	0.12697238	0
59521	0.1268944	0
