pmcid	title	abstract	body	relevancy
3383300	7.431037	0.32820168	0.32820168	0
2702819	7.299694	7.5930696	2.1688914	0
3539461	7.056352	3.828874	3.5771983	0
3296598	6.8646874	4.7250266	5.2615495	0
3533611	6.102427	4.5671244	4.02092	0
2783054	5.590401	2.666658	2.15572	0
3032707	5.5556736	3.042674	3.3308313	0
3245485	5.5123506	3.5088892	3.613948	0
3150318	5.4520683	3.0920572	3.0067384	0
3129061	5.3343606	4.2909822	4.041205	0
2737771	5.104262	3.1671143	2.0472405	0
3713838	4.8474593	0.07550424	3.5291739	0
3337804	4.2411594	2.4263506	2.1599154	0
2934582	0.5135013	4.9960594	3.8379624	0
2646742	0.46332717	0.46332717	0.46332717	0
2830945	0.45790818	0.45790818	0.45790818	2
3015305	0.4568682	0.4568682	0.4568682	0
239862	0.4418879	0.4418879	0.4418879	0
3015409	0.43210918	0.43210918	0.43210918	0
3347651	0.41757038	5.0917873	4.0814815	0
3616039	0.41434035	0.41434035	0.41434035	0
3052194	0.40241978	0.40241978	0.40241978	0
3533887	0.39772332	0.39772332	0.39772332	0
3638532	0.39452466	0.39452466	0.39452466	0
3725171	0.3904638	0.3904638	0.3904638	0
3779402	0.38989353	0.38989353	0.38989353	0
3888002	0.3840622	0.3840622	0.3840622	0
2277430	0.3819265	4.7566767	3.3720145	0
3556838	0.3710181	0.3710181	0.3710181	0
3015688	0.36978814	0.36978814	0.36978814	0
3484318	0.3688717	0.3688717	0.3688717	0
2678139	0.36438853	0.36438853	0.36438853	1
2694377	0.3630392	0.3630392	0.3630392	0
3113183	0.3569499	0.3569499	0.3569499	2
2925354	0.35640144	3.9932704	3.9062226	0
2918822	0.35221347	0.35221347	0.35221347	0
3445186	0.3485637	0.3485637	0.3485637	0
3249850	0.34805703	0.34805703	0.34805703	0
3461776	0.34424907	0.34424907	3.6660662	0
3852762	0.34153703	0.34153703	0.34153703	0
3580896	0.33993864	0.33993864	0.33993864	0
3438719	0.33941245	0.33941245	0.33941245	0
3418044	0.33781	0.33781	3.1221864	0
3628469	0.33744302	0.33744302	0.33744302	2
3863961	0.3373785	0.3373785	0.3373785	0
3279489	0.336066	0.336066	0.336066	0
3099092	0.3340549	0.3340549	0.3340549	0
2847139	0.3329468	0.3329468	0.3329468	0
3291426	0.3329001	0.3329001	0.3329001	0
3649454	0.3326647	4.594824	3.8266916	0
2604268	0.32895607	0.0	0.0	0
1526710	0.32867455	0.32867455	0.32867455	0
2627451	0.32815704	0.32815704	0.32815704	0
2253550	0.32809186	0.32809186	0.32809186	0
3214511	0.32630855	0.32630855	0.32630855	1
2929414	0.3256781	0.3256781	0.3256781	0
2836925	0.32548365	0.32548365	0.32548365	2
2988864	0.3246859	0.3246859	0.3246859	0
2995940	0.3227795	0.3227795	0.3227795	0
2769297	0.32176828	0.32176828	0.32176828	0
2740293	0.32116237	0.32116237	4.682775	2
3068583	0.3202524	0.3202524	0.3202524	2
3213015	0.31981823	0.31981823	0.31981823	0
3632018	0.3174825	0.3174825	0.3174825	0
2740156	0.316679	0.316679	0.316679	0
3030803	0.31589887	0.31589887	0.31589887	0
3663309	0.31504714	0.31504714	0.31504714	0
3859883	0.3144218	0.3144218	0.3144218	1
3655519	0.31174526	0.31174526	0.31174526	0
3407612	0.31072712	0.31072712	0.31072712	0
3411373	0.30986643	0.30986643	0.30986643	0
2910374	0.30966297	0.30966297	0.30966297	0
2783077	0.30909696	4.877743	3.2417526	2
2612654	0.30863926	0.30863926	0.30863926	0
3285529	0.3085967	0.3085967	0.3085967	0
3628494	0.3079312	3.793755	3.1103365	0
3415050	0.30772018	0.30772018	0.30772018	0
2890891	0.3067666	0.3067666	0.3067666	0
3075160	0.3035682	0.3035682	3.4614666	1
3461611	0.30345613	0.30345613	0.30345613	0
3628244	0.30220228	0.30220228	0.30220228	0
3017885	0.30143008	0.30143008	0.30143008	0
3773424	0.30126843	0.30126843	0.30126843	0
2572068	0.30053	3.665939	4.124553	2
3872157	0.30025885	4.0699186	2.6700766	0
2730560	0.29855287	0.29855287	3.4393926	0
3177411	0.29829466	0.29829466	0.29829466	0
3227160	0.29799873	0.29799873	0.29799873	2
3113161	0.2968502	0.2968502	0.2968502	0
2614979	0.29682967	3.692761	4.264308	0
3783828	0.2952905	4.431249	2.5480094	2
3226425	0.29475865	0.29475865	0.29475865	0
3806164	0.2928235	0.2928235	0.2928235	2
3051211	0.29190636	0.29190636	0.29190636	0
3352193	0.29150236	0.29150236	0.29150236	0
1403776	0.29113993	0.29113993	0.29113993	0
3531040	0.29094166	0.29094166	0.29094166	0
3015994	0.29057005	0.29057005	0.29057005	0
3600282	0.29028997	0.29028997	0.29028997	0
3350117	0.28978837	0.28978837	0.28978837	0
3858201	0.2878732	0.2878732	0.2878732	0
3122097	0.28716847	0.28716847	0.28716847	1
3336896	0.28663146	4.429523	4.303318	0
2847727	0.28631058	0.28631058	0.28631058	0
3543584	0.2862257	0.2862257	0.2862257	0
2827072	0.2849512	0.2849512	0.2849512	0
2938513	0.28488392	0.28488392	0.28488392	0
3764957	0.28433082	0.28433082	0.28433082	0
3593510	0.28426912	0.28426912	3.7768717	0
3019022	0.28351155	0.28351155	0.28351155	0
2769341	0.283222	0.283222	0.283222	0
3712003	0.282587	4.107279	3.2470856	0
2728191	0.28049302	0.28049302	0.28049302	0
3711723	0.27938887	0.27938887	0.27938887	0
2826293	0.27879018	0.27879018	0.27879018	0
3614379	0.27822143	4.5167813	0.27822143	0
2721581	0.2780178	0.2780178	0.2780178	0
3329710	0.27773893	0.27773893	0.27773893	0
3754406	0.2773158	0.2773158	0.2773158	0
3649089	0.27729583	0.27729583	3.761648	0
1183200	0.27688146	0.27688146	0.27688146	1
3304619	0.27534658	0.27534658	4.5880075	2
3169498	0.27377447	3.9886723	3.175611	0
3748403	0.27317175	3.7695076	4.5937457	0
3159287	0.2728337	0.2728337	0.2728337	0
3068103	0.27277133	4.0409846	3.0654142	0
3310784	0.27204248	5.6705837	0.27204248	0
1936994	0.27191606	0.27191606	0.27191606	0
3468117	0.27105108	0.27105108	0.27105108	2
3015684	0.26912394	0.26912394	0.26912394	0
2726498	0.26883844	0.26883844	3.7527208	0
3806430	0.26862374	0.26862374	0.26862374	0
2933122	0.26767707	0.26767707	3.7166736	0
3568712	0.26726943	0.26726943	0.26726943	0
2900277	0.26647666	0.26647666	0.26647666	0
3170312	0.2653652	0.2653652	0.2653652	0
3097148	0.2653476	0.2653476	2.9196599	0
2737763	0.26486355	0.26486355	0.26486355	0
3340975	0.2648592	0.2648592	3.2641897	0
3068590	0.26437858	0.26437858	0.26437858	0
3250001	0.2637572	0.2637572	0.2637572	0
3148882	0.26314363	0.26314363	0.26314363	1
2783104	0.26268446	0.26268446	0.26268446	0
3399219	0.26118016	0.26118016	0.26118016	0
3809230	0.26117867	0.26117867	4.000323	0
3853387	0.26095387	0.26095387	2.0973716	0
2686968	0.26087457	0.26087457	0.26087457	0
3681262	0.2607403	0.2607403	3.7633986	0
3840837	0.2600428	0.2600428	0.2600428	0
3021270	0.25840566	0.25840566	0.25840566	0
3351958	0.25792998	0.25792998	0.25792998	2
2966580	0.25742978	0.25742978	0.25742978	0
1533809	0.2569295	0.2569295	0.2569295	0
3016752	0.25668433	0.25668433	0.25668433	0
3813776	0.25643456	0.25643456	0.25643456	0
3375743	0.25637674	0.25637674	0.25637674	0
3183542	0.2558856	0.2558856	0.2558856	0
3015576	0.25586697	0.25586697	4.4104404	0
2892693	0.25575763	0.25575763	0.25575763	0
3446077	0.25536513	0.25536513	0.25536513	0
2699061	0.25480455	4.3013783	3.5716527	0
3183690	0.25458616	0.25458616	0.25458616	2
2806400	0.25409982	0.25409982	0.25409982	0
3526386	0.25382394	0.25382394	2.5984306	0
3132369	0.25381923	0.25381923	0.25381923	0
3649156	0.25376502	5.4946938	4.4250383	2
140039	0.25350267	0.25350267	0.25350267	0
3502769	0.2533306	0.2533306	0.2533306	0
3016500	0.25220004	0.25220004	2.8792975	0
3075147	0.25194862	0.25194862	0.25194862	0
3876312	0.25143847	0.25143847	0.25143847	0
3555598	0.2509926	0.2509926	3.2217202	0
3166808	0.2502692	4.2535386	3.2600012	0
3113153	0.25026408	0.25026408	0.25026408	2
3180661	0.24974285	0.24974285	0.24974285	0
3825926	0.24850531	0.24850531	0.24850531	0
3003679	0.24780238	0.24780238	2.8898363	0
2683798	0.24762073	0.24762073	3.6077132	0
3578667	0.24722889	0.24722889	0.24722889	0
2769450	0.24697025	0.24697025	0.24697025	0
3520709	0.24648747	0.24648747	3.2630973	0
3583806	0.24643697	0.24643697	2.0036306	0
3450927	0.24638584	0.24638584	0.24638584	0
2952783	0.2448771	0.2448771	0.2448771	0
3719188	0.24475996	0.24475996	0.24475996	0
3470986	0.24405971	0.24405971	0.24405971	0
3745864	0.24396092	0.24396092	3.7792597	0
3214505	0.24352342	0.24352342	0.24352342	0
3628218	0.24324588	4.372552	0.24324588	2
3638550	0.24288063	0.24288063	0.24288063	0
1904453	0.24287401	3.948443	2.732716	0
2740232	0.24244578	0.24244578	0.24244578	0
2808561	0.24168432	4.499055	4.2795935	0
3033147	0.23993048	0.23993048	0.23993048	0
3349473	0.2399048	0.2399048	0.2399048	0
3409907	0.23985991	0.23985991	0.23985991	0
3206687	0.23899528	4.1486263	2.8653593	0
3701338	0.23878303	0.23878303	0.23878303	0
2442185	0.23786815	0.23786815	0.23786815	0
2726474	0.23772368	0.23772368	0.23772368	0
3457606	0.23742259	0.23742259	0.23742259	0
3533152	0.23719133	0.23719133	0.23719133	0
3639802	0.2371146	0.2371146	2.2547758	0
2867990	0.23690659	0.23690659	3.8588324	0
2642780	0.23637626	0.23637626	0.23637626	0
3307080	0.2358627	0.2358627	0.2358627	0
2719756	0.23585142	0.23585142	3.6942213	0
2092434	0.23555875	0.23555875	2.9985738	0
3271690	0.23407029	0.23407029	0.23407029	0
3088753	0.23368071	0.23368071	0.23368071	0
3513733	0.23285255	0.23285255	0.23285255	0
3838988	0.23172106	0.23172106	3.2407246	0
2664139	0.23077087	0.23077087	0.23077087	0
3779006	0.23003471	0.23003471	0.23003471	0
3319776	0.22998114	0.22998114	0.22998114	0
3711740	0.22986196	0.22986196	0.22986196	2
3760260	0.22962968	0.22962968	0.22962968	0
3506494	0.2282736	0.2282736	0.2282736	0
2387157	0.22800331	0.22800331	0.22800331	0
3015824	0.22694013	0.22694013	0.22694013	0
2988862	0.22682098	3.805586	2.475736	0
3350224	0.22640164	0.22640164	3.52609	0
2442981	0.22534227	0.22534227	0.22534227	2
3038627	0.22533764	0.22533764	0.22533764	0
2896582	0.22482926	0.22482926	0.22482926	0
2657279	0.22472537	0.22472537	0.22472537	0
2767137	0.22380848	0.22380848	0.22380848	0
3122091	0.22336885	0.22336885	0.22336885	1
1925058	0.22335158	0.22335158	0.22335158	0
2980723	0.22327983	0.22327983	0.22327983	0
3551405	0.22326778	0.22326778	0.22326778	0
3200155	0.22300588	0.22300588	0.22300588	0
3443647	0.22268623	0.22268623	0.22268623	0
122079	0.22253646	0.22253646	0.22253646	2
3183692	0.22228134	0.22228134	0.22228134	0
2884449	0.2219274	0.2219274	0.2219274	0
3015703	0.2217823	0.2217823	0.2217823	0
3825978	0.2212488	0.2212488	0.2212488	0
3145881	0.22117837	0.22117837	0.22117837	0
2801000	0.2209715	0.2209715	0.2209715	0
3853607	0.22027478	0.22027478	0.22027478	0
3023038	0.21967171	0.21967171	0.21967171	0
3632032	0.2192944	0.2192944	0.2192944	0
3554543	0.2185603	0.2185603	0.2185603	0
2911400	0.21840979	0.21840979	0.21840979	0
