rank, pmcid, score
1, 2536182, 0.5852988
2, 3587910, 0.5785185
3, 3853387, 0.5200736
4, 3023754, 0.50343335
5, 2760696, 0.49330977
6, 2700434, 0.4611015
7, 1276800, 0.44485092
8, 3849794, 0.4365271
9, 2700440, 0.42680115
10, 2783053, 0.4263776
11, 3336229, 0.41935742
12, 3424871, 0.4051571
13, 2967681, 0.397386
14, 3177592, 0.38726717
15, 3343246, 0.38666022
16, 2827098, 0.3826504
17, 3277043, 0.3680352
18, 3323283, 0.36699468
19, 3762010, 0.36452386
20, 3649302, 0.362626
21, 3700969, 0.36177272
22, 3415813, 0.36032662
23, 3633019, 0.35679823
24, 2629964, 0.35349184
25, 3322929, 0.35246623
26, 3529428, 0.35121015
27, 3090107, 0.3465248
28, 3522406, 0.34570098
29, 2082036, 0.34320948
30, 3378931, 0.3387238
31, 3562643, 0.3380035
32, 2714572, 0.33540124
33, 3085223, 0.33522457
34, 3754399, 0.32866955
35, 2737789, 0.32606024
36, 3114546, 0.3239787
37, 3632018, 0.32270038
38, 3651148, 0.3226369
39, 2827106, 0.32122314
40, 2840603, 0.3191164
41, 3580369, 0.31687993
42, 2474644, 0.31657082
43, 3291424, 0.31646484
44, 2918823, 0.31555426
45, 3233373, 0.3143665
46, 3619046, 0.31151128
47, 2783080, 0.31118682
48, 2526070, 0.3077051
49, 2732080, 0.30638692
50, 3552941, 0.30429837
51, 3154170, 0.30283466
52, 3117630, 0.30227512
53, 3429833, 0.29753253
54, 3403114, 0.2960742
55, 3609679, 0.29419595
56, 2876698, 0.29276285
57, 3259402, 0.28986624
58, 2222671, 0.28954855
59, 3447285, 0.28880852
60, 2700484, 0.28829286
61, 3506075, 0.28650182
62, 3109347, 0.2859896
63, 2390549, 0.28473124
64, 3872415, 0.28445753
65, 3866926, 0.2835843
66, 3276037, 0.28291428
67, 2891799, 0.28186005
68, 3702368, 0.2806778
69, 3826012, 0.28032553
70, 3616181, 0.2798036
71, 2245957, 0.2782127
72, 3163220, 0.27715683
73, 3190518, 0.2739021
74, 2828091, 0.2725805
75, 3874654, 0.2692789
76, 3488388, 0.26874098
77, 3250002, 0.26730442
78, 3713368, 0.2658567
79, 3355865, 0.2646064
80, 3492084, 0.26333532
81, 2993722, 0.26321757
82, 2769286, 0.26301035
83, 2365966, 0.26182216
84, 3598208, 0.26104188
85, 3791000, 0.26072714
86, 549073, 0.260682
87, 3133999, 0.2602446
88, 3334261, 0.26022682
89, 2892667, 0.2595569
90, 3876310, 0.2589385
91, 2627817, 0.25848907
92, 2847142, 0.25846064
93, 3420654, 0.2580435
94, 3737610, 0.25749764
95, 2988180, 0.25715727
96, 3386665, 0.25601235
97, 3162766, 0.25569037
98, 2904789, 0.2542371
99, 3622346, 0.25154033
100, 3463044, 0.2512458
