rank, pmcid, score
1, 3579466, 0.5544808
2, 3806705, 0.5505464
3, 2756566, 0.4976541
4, 2390549, 0.496977
5, 2778448, 0.49674854
6, 1824744, 0.49431685
7, 2769306, 0.49112773
8, 3603620, 0.49107632
9, 3548361, 0.4693385
10, 3129533, 0.44802633
11, 3312196, 0.4391974
12, 3833481, 0.43581083
13, 3335656, 0.4347973
14, 3500067, 0.4302779
15, 2783065, 0.4279153
16, 2916111, 0.42711902
17, 2329860, 0.422253
18, 3350051, 0.42102554
19, 3336229, 0.4208598
20, 3506220, 0.42054805
21, 3623469, 0.41916522
22, 3099514, 0.41438836
23, 2868875, 0.4140751
24, 3853387, 0.41319877
25, 2810606, 0.41284123
26, 2791917, 0.41189092
27, 3514797, 0.41087338
28, 3024570, 0.40848804
29, 3292982, 0.4078607
30, 3712165, 0.4053421
31, 3506064, 0.4010182
32, 1318453, 0.40038764
33, 2862150, 0.39998767
34, 3682695, 0.39973667
35, 2686945, 0.39872834
36, 3829227, 0.39790198
37, 3245397, 0.39609203
38, 3200042, 0.3950814
39, 2222163, 0.39438364
40, 2884204, 0.39124584
41, 3844841, 0.3910656
42, 3221187, 0.38971853
43, 3253696, 0.38780794
44, 3424656, 0.3869499
45, 3199939, 0.38677275
46, 3500066, 0.3856836
47, 3109347, 0.38552538
48, 3268705, 0.38519087
49, 3532912, 0.3826863
50, 3086330, 0.3826604
51, 503388, 0.3823133
52, 2752786, 0.3820538
53, 3483324, 0.38126874
54, 3525043, 0.38096723
55, 2626575, 0.38065615
56, 2726538, 0.37954065
57, 3679774, 0.37833247
58, 3521122, 0.37726802
59, 3283058, 0.37723187
60, 2652467, 0.37642032
61, 2918849, 0.37583733
62, 3833587, 0.3749724
63, 3599992, 0.37484458
64, 3016819, 0.37470478
65, 3248587, 0.37435734
66, 2672283, 0.37391233
67, 3445081, 0.37310812
68, 3434906, 0.37272987
69, 2790183, 0.37121636
70, 3833540, 0.37117237
71, 3150839, 0.37077996
72, 3580369, 0.36946332
73, 3027107, 0.36902624
74, 3649619, 0.3688757
75, 2245957, 0.36708254
76, 3111109, 0.36705026
77, 3526139, 0.36702526
78, 3210844, 0.36610222
79, 3573581, 0.36575234
80, 3849794, 0.36554587
81, 1791015, 0.36482102
82, 3662738, 0.36471468
83, 2496696, 0.36293098
84, 2906497, 0.36283633
85, 3451906, 0.36255878
86, 3135046, 0.36244
87, 3043429, 0.36240646
88, 3284562, 0.36165377
89, 3123279, 0.3613135
90, 3666332, 0.36077294
91, 3666183, 0.36027735
92, 2783056, 0.35931295
93, 3806362, 0.35777354
94, 3859019, 0.35551867
95, 3420706, 0.35540825
96, 3685602, 0.35304
97, 3420375, 0.35294
98, 2613409, 0.35282022
99, 2204027, 0.35271487
100, 3866701, 0.35148284
