rank, pmcid, score
1, 3728525, 0.38455442
2, 3833481, 0.3763642
3, 2929428, 0.35530558
4, 3201001, 0.33937362
5, 3716027, 0.33589408
6, 2927734, 0.31274065
7, 3660277, 0.30208078
8, 3144462, 0.3014687
9, 3552828, 0.29532984
10, 3630944, 0.29184753
11, 2639567, 0.2869089
12, 2769310, 0.28365105
13, 2711054, 0.28196386
14, 3185253, 0.27923474
15, 3546181, 0.2689216
16, 2687594, 0.26076812
17, 3851743, 0.25847143
18, 2630042, 0.25675142
19, 3853387, 0.25499302
20, 3309207, 0.25236583
21, 2740017, 0.25074735
22, 3277043, 0.25004008
23, 3298200, 0.24756886
24, 3473978, 0.24718532
25, 2604469, 0.24402642
26, 2825516, 0.24274312
27, 2507716, 0.24032332
28, 2829571, 0.23756555
29, 3098861, 0.23703928
30, 3133010, 0.23405692
31, 3825950, 0.2304321
32, 3265240, 0.22796093
33, 2546416, 0.22629912
34, 3715368, 0.22615333
35, 3866701, 0.22498067
36, 3144482, 0.22365534
37, 3829227, 0.22217795
38, 2040141, 0.22184072
39, 3043403, 0.220983
40, 3438429, 0.22010556
41, 3166818, 0.21931678
42, 3850722, 0.21815437
43, 1513152, 0.21624815
44, 3563473, 0.21623656
45, 2756566, 0.21198213
46, 3591023, 0.21120398
47, 1440852, 0.21037723
48, 3398906, 0.21025276
49, 57816, 0.20884682
50, 2915602, 0.20825005
51, 3158109, 0.20735948
52, 3389030, 0.20650789
53, 3086328, 0.20449458
54, 3075199, 0.20421612
55, 3730149, 0.20358081
56, 3134382, 0.20356719
57, 3843011, 0.20264733
58, 3087163, 0.20235439
59, 3040585, 0.20183368
60, 2575197, 0.2008599
61, 3715978, 0.20041366
62, 2799065, 0.2000494
63, 3868095, 0.1994205
64, 2855448, 0.19940215
65, 3260746, 0.19904703
66, 3833581, 0.19881222
67, 3792504, 0.1987451
68, 3670442, 0.19835483
69, 3309209, 0.19820039
70, 3648814, 0.19794223
71, 3507127, 0.19767055
72, 2865605, 0.19753787
73, 2630044, 0.19742571
74, 3438093, 0.19687267
75, 3371554, 0.19633429
76, 3015473, 0.19625194
77, 2996186, 0.19618487
78, 2780610, 0.19615015
79, 3074312, 0.19474122
80, 2867996, 0.19416094
81, 3555757, 0.19354336
82, 1257651, 0.1935134
83, 2706419, 0.1933895
84, 3440124, 0.19294438
85, 2629480, 0.19277479
86, 2599784, 0.19276668
87, 3424874, 0.19189766
88, 2702887, 0.19183196
89, 3459787, 0.19174165
90, 113753, 0.19097666
91, 2769473, 0.19025351
92, 3264052, 0.1896735
93, 2323518, 0.18956919
94, 2656493, 0.18952715
95, 3833552, 0.18931432
96, 3508415, 0.18930584
97, 3171154, 0.18905124
98, 3253728, 0.1889233
99, 2615037, 0.18851618
100, 3713288, 0.18846059
