rank, pmcid, score
1, 2626575, 0.5720428
2, 2270822, 0.55626225
3, 2834624, 0.5395954
4, 2802381, 0.53845054
5, 2769306, 0.53616893
6, 3221187, 0.52049005
7, 3507127, 0.495133
8, 3149114, 0.49487463
9, 3420375, 0.49268302
10, 3506064, 0.48806226
11, 2652467, 0.4812917
12, 3573581, 0.47547126
13, 3292982, 0.47268268
14, 3123279, 0.47212657
15, 2791917, 0.46801513
16, 3499780, 0.46703643
17, 3718515, 0.46551675
18, 3312196, 0.4634272
19, 3833471, 0.46014765
20, 2222163, 0.46014327
21, 2783065, 0.45573872
22, 3579466, 0.45339993
23, 2496696, 0.4477062
24, 2862150, 0.44535044
25, 2656305, 0.4393372
26, 3833481, 0.43748814
27, 3160705, 0.43456697
28, 2868875, 0.42951825
29, 3662141, 0.42595023
30, 137260, 0.4252024
31, 2993902, 0.42431888
32, 2915811, 0.42290848
33, 3665239, 0.42263108
34, 2329860, 0.420029
35, 3287463, 0.4188332
36, 3603620, 0.41227996
37, 3420685, 0.41081992
38, 3189328, 0.4077668
39, 3506220, 0.403229
40, 2865463, 0.40210912
41, 3806705, 0.39497024
42, 3093542, 0.39296964
43, 2810432, 0.392911
44, 3445081, 0.391033
45, 3521122, 0.3907155
46, 2682448, 0.3882482
47, 3372338, 0.38780415
48, 3210844, 0.3849743
49, 2390549, 0.3837057
50, 1318453, 0.38088298
51, 2796073, 0.37984252
52, 2884204, 0.37552592
53, 2778448, 0.37435463
54, 2756566, 0.37366253
55, 2716442, 0.37275404
56, 3575201, 0.36871326
57, 2964467, 0.3674457
58, 3833587, 0.36690104
59, 3424654, 0.36419246
60, 3841630, 0.36349866
61, 3600286, 0.36334148
62, 3423798, 0.36312646
63, 3528190, 0.36237547
64, 3135094, 0.36210114
65, 2235848, 0.3607595
66, 523836, 0.35934177
67, 3336229, 0.35847726
68, 2666295, 0.35769835
69, 3536590, 0.35753992
70, 3548361, 0.357413
71, 3248029, 0.35683757
72, 2790183, 0.35660064
73, 2919794, 0.355869
74, 3665183, 0.35413215
75, 1824744, 0.3535355
76, 2783056, 0.35018224
77, 3335656, 0.34966072
78, 150573, 0.34961888
79, 3401781, 0.34780404
80, 3129533, 0.34760398
81, 2851695, 0.34543052
82, 2672283, 0.34497958
83, 3349146, 0.34430787
84, 3397329, 0.3432613
85, 3224772, 0.34271926
86, 3651375, 0.3414811
87, 503388, 0.3412906
88, 3683415, 0.33981183
89, 2808565, 0.3390656
90, 3090283, 0.3389732
91, 3253696, 0.3385303
92, 3833540, 0.33808506
93, 3246148, 0.33792397
94, 3719271, 0.33788446
95, 3590646, 0.33744174
96, 2721320, 0.33717498
97, 2515895, 0.33683413
98, 3503277, 0.33616835
99, 3388350, 0.3357917
100, 2695211, 0.3355199
