rank, pmcid, score
1, 3670525, 0.3491859
2, 3533459, 0.3371583
3, 3876013, 0.32973877
4, 3229059, 0.3074566
5, 3290187, 0.29356882
6, 3635634, 0.27313292
7, 3789905, 0.2647923
8, 3299326, 0.2647276
9, 3294399, 0.2628674
10, 3877581, 0.26050517
11, 3248587, 0.25712076
12, 2906497, 0.25504354
13, 3524676, 0.2542653
14, 3179011, 0.25349393
15, 3817756, 0.24817157
16, 3662141, 0.24029887
17, 2840913, 0.24017422
18, 3529232, 0.23866831
19, 3684080, 0.23569867
20, 3665880, 0.23174068
21, 3500067, 0.2306909
22, 3129533, 0.22712693
23, 2651898, 0.22023286
24, 3724080, 0.21996208
25, 3523429, 0.21947616
26, 3665879, 0.21774286
27, 2762569, 0.21360405
28, 3085068, 0.20886819
29, 3699953, 0.2079442
30, 3271840, 0.20726438
31, 3514397, 0.20456554
32, 3113181, 0.20318387
33, 3557981, 0.20237122
34, 3696247, 0.20152901
35, 3236289, 0.20133695
36, 3529440, 0.20079957
37, 3291061, 0.19997528
38, 2887901, 0.19921614
39, 3018580, 0.19917335
40, 3760298, 0.19885246
41, 2921145, 0.19877571
42, 2840896, 0.19862176
43, 2801633, 0.19844931
44, 3784135, 0.1978139
45, 3666332, 0.19748159
46, 2686945, 0.1967267
47, 3336252, 0.19672415
48, 3810679, 0.19627604
49, 3504214, 0.19505553
50, 2916111, 0.19315465
51, 3598533, 0.19270152
52, 3189472, 0.19257975
53, 3400884, 0.19168787
54, 3506220, 0.19097342
55, 3521951, 0.19012235
56, 2833776, 0.1892994
57, 3391786, 0.18919562
58, 3205365, 0.18860364
59, 3667310, 0.18773834
60, 3541597, 0.18667871
61, 2851695, 0.18637957
62, 3118206, 0.184861
63, 2784587, 0.18464667
64, 3525043, 0.18326132
65, 3401855, 0.18245134
66, 503388, 0.1805375
67, 2862513, 0.17973992
68, 3656690, 0.17947504
69, 3263136, 0.17943121
70, 3389251, 0.17924793
71, 3776656, 0.17877488
72, 3853387, 0.17825724
73, 3383148, 0.17800999
74, 3663178, 0.17785189
75, 3087993, 0.17757362
76, 2827052, 0.17745474
77, 3078221, 0.17729175
78, 3625585, 0.17706299
79, 3649648, 0.17621729
80, 3415045, 0.17567843
81, 3663347, 0.17566207
82, 3191848, 0.17539078
83, 2914084, 0.1752105
84, 3219577, 0.17483418
85, 3466837, 0.17419556
86, 3573453, 0.17375907
87, 3048597, 0.17350304
88, 3560169, 0.1721958
89, 2983030, 0.17210764
90, 3152183, 0.17163357
91, 3047824, 0.17144811
92, 3581257, 0.17141359
93, 1779268, 0.17115436
94, 3694471, 0.17113778
95, 3267056, 0.17087872
96, 3749590, 0.17026563
97, 3760952, 0.17021216
98, 3587677, 0.1700662
99, 2769375, 0.16995116
100, 3268934, 0.16874757
