rank, pmcid, score
1, 2868875, 0.5092707
2, 3665183, 0.47971308
3, 2791738, 0.4098699
4, 2884204, 0.40436798
5, 2987954, 0.3990384
6, 3159367, 0.39577442
7, 3375193, 0.3915999
8, 2769306, 0.3839326
9, 3665239, 0.38213152
10, 3833587, 0.38188255
11, 2906497, 0.38134843
12, 2390549, 0.38004693
13, 3833481, 0.37854013
14, 3622346, 0.37816355
15, 3378931, 0.37423256
16, 2783056, 0.37242082
17, 3420375, 0.3699795
18, 3199939, 0.36933398
19, 3506064, 0.36815858
20, 3129533, 0.36711866
21, 3806705, 0.36693722
22, 2810606, 0.36410224
23, 3529232, 0.36345428
24, 3789905, 0.36344403
25, 3580369, 0.36339837
26, 3440898, 0.36229348
27, 3248587, 0.36223873
28, 2930659, 0.36184135
29, 3784135, 0.3615132
30, 1824744, 0.36070007
31, 3665179, 0.35392433
32, 2778448, 0.3533023
33, 3603620, 0.3524399
34, 2245957, 0.35180107
35, 3514397, 0.35105252
36, 3662141, 0.35011443
37, 3445081, 0.3490266
38, 3548361, 0.34865215
39, 2630300, 0.34843698
40, 2572041, 0.34812212
41, 2808565, 0.3479218
42, 2672283, 0.34763592
43, 3726238, 0.34756848
44, 2651857, 0.34558684
45, 3249600, 0.3454438
46, 3015425, 0.34411344
47, 2626575, 0.34262326
48, 1434765, 0.3417007
49, 1852908, 0.34128955
50, 3445160, 0.34046686
51, 61035, 0.3392946
52, 1791015, 0.33772868
53, 2856542, 0.3376461
54, 3458412, 0.33719146
55, 3149114, 0.336809
56, 3469364, 0.3363685
57, 3355033, 0.33574095
58, 3599992, 0.33567795
59, 3427044, 0.33493322
60, 3649619, 0.33397132
61, 3354470, 0.33347303
62, 3383148, 0.33321333
63, 3604869, 0.3325523
64, 1523371, 0.33219463
65, 3758842, 0.33154774
66, 3151403, 0.33003378
67, 3125360, 0.3296979
68, 3856285, 0.3294202
69, 2672233, 0.32825658
70, 3892061, 0.3280666
71, 2737789, 0.32779357
72, 3579466, 0.32775924
73, 3336229, 0.3266285
74, 2827076, 0.3265599
75, 2802381, 0.32650566
76, 3488388, 0.32574552
77, 3785339, 0.32564342
78, 2721320, 0.32514298
79, 3733192, 0.32430878
80, 2872575, 0.32377553
81, 2496696, 0.3230087
82, 3350152, 0.32283404
83, 2847728, 0.322624
84, 3279691, 0.32254663
85, 3424654, 0.32112196
86, 2270822, 0.32026827
87, 2862150, 0.3193453
88, 2769330, 0.31651938
89, 3760298, 0.3163534
90, 3123279, 0.3163491
91, 2829597, 0.31605875
92, 2726500, 0.3153622
93, 3224531, 0.3150503
94, 137260, 0.3146024
95, 2790183, 0.31458858
96, 3162264, 0.31453422
97, 2732791, 0.31407169
98, 3838821, 0.31374222
99, 503388, 0.31284666
100, 2967696, 0.3122669
