rank, pmcid, score
1, 3562643, 0.46811587
2, 3853387, 0.46106294
3, 2245957, 0.42464772
4, 2987954, 0.39097744
5, 3542949, 0.3842746
6, 3420763, 0.3819816
7, 3833587, 0.36867037
8, 3784075, 0.36416006
9, 3415813, 0.3575318
10, 2706800, 0.35726702
11, 3090107, 0.35642463
12, 3291424, 0.34854907
13, 3336229, 0.34700266
14, 2615763, 0.3462669
15, 3480933, 0.34444097
16, 2700440, 0.34274805
17, 3177592, 0.3398452
18, 2769322, 0.3393271
19, 3629711, 0.33293825
20, 2828091, 0.32776085
21, 2605761, 0.3264338
22, 2629964, 0.32473317
23, 3619046, 0.32446945
24, 3378931, 0.32328895
25, 3622346, 0.32314843
26, 2526070, 0.32270154
27, 2732080, 0.32148665
28, 2829621, 0.32133672
29, 3445145, 0.32048398
30, 3877581, 0.31995353
31, 2769286, 0.31987396
32, 2672442, 0.318821
33, 3632018, 0.31816024
34, 3628469, 0.31785586
35, 2988808, 0.31469092
36, 3849794, 0.31449905
37, 3618104, 0.3135101
38, 3878531, 0.31321588
39, 3488388, 0.3128559
40, 3174928, 0.31190014
41, 3445096, 0.31126183
42, 3327834, 0.31071383
43, 3700969, 0.3104395
44, 3133999, 0.30834186
45, 3698053, 0.3074745
46, 3518712, 0.30735657
47, 3683440, 0.30474797
48, 2827159, 0.3046212
49, 2737789, 0.30439726
50, 3420620, 0.3039779
51, 2917397, 0.30264518
52, 3542887, 0.30088845
53, 2740255, 0.30005565
54, 2868875, 0.29933324
55, 3190518, 0.29765785
56, 1824744, 0.29591662
57, 3598820, 0.29339555
58, 3248865, 0.29302543
59, 3487024, 0.29205674
60, 3198627, 0.29075143
61, 3134683, 0.29073164
62, 239964, 0.2901305
63, 3876309, 0.28994486
64, 3459797, 0.28952202
65, 3759689, 0.28644842
66, 3199939, 0.28631255
67, 2799065, 0.28624156
68, 2714572, 0.28518286
69, 3151403, 0.2838288
70, 3015473, 0.28361952
71, 3665183, 0.28332034
72, 2967696, 0.28326464
73, 3015819, 0.2821013
74, 2881009, 0.2816339
75, 2211302, 0.28055826
76, 3420078, 0.27908835
77, 3328892, 0.278973
78, 3502875, 0.27877063
79, 3335656, 0.2786911
80, 3268705, 0.27822262
81, 2957620, 0.27786946
82, 3398075, 0.27730173
83, 3502786, 0.27697083
84, 3424654, 0.27649257
85, 3163220, 0.27641353
86, 3411373, 0.27605978
87, 3405157, 0.27484083
88, 3574659, 0.27450252
89, 2967681, 0.27408096
90, 2700484, 0.27366376
91, 3701786, 0.27360773
92, 3506075, 0.2735531
93, 3117630, 0.27324072
94, 3350152, 0.2731376
95, 3469364, 0.27279004
96, 3782346, 0.27199197
97, 3351956, 0.27107358
98, 2259431, 0.27100348
99, 3047687, 0.27096617
100, 2741488, 0.27086318
