rank, pmcid, score
1, 3097809, 0.5795335
2, 3430087, 0.45529777
3, 3866077, 0.42612994
4, 3480933, 0.37543684
5, 3424655, 0.3639733
6, 3163653, 0.3281867
7, 3719271, 0.32792225
8, 3502786, 0.32510376
9, 2941598, 0.32312492
10, 3019596, 0.32174483
11, 2693868, 0.31551802
12, 2938513, 0.3073875
13, 3350117, 0.30623707
14, 3539596, 0.2922004
15, 2873451, 0.29196933
16, 3821232, 0.2913499
17, 3407432, 0.29056823
18, 3892510, 0.28909287
19, 2809077, 0.28418854
20, 2744771, 0.2759083
21, 3261489, 0.27147466
22, 3283058, 0.26174578
23, 3205541, 0.25117916
24, 3148597, 0.25099897
25, 3027107, 0.2492524
26, 3016127, 0.24847811
27, 3236393, 0.24841048
28, 3377126, 0.24180874
29, 2931379, 0.24074027
30, 3873172, 0.23851341
31, 3742354, 0.23789966
32, 3573030, 0.23753987
33, 3655492, 0.23727113
34, 2737761, 0.23623349
35, 3016819, 0.23328508
36, 3629711, 0.22758551
37, 3304256, 0.22745946
38, 3205779, 0.22652799
39, 3614378, 0.2258035
40, 3335469, 0.22406074
41, 3335664, 0.22402632
42, 3575620, 0.22244315
43, 3348525, 0.22220021
44, 3097768, 0.21999754
45, 3073784, 0.21975121
46, 3676995, 0.21850985
47, 3888003, 0.21788971
48, 3618104, 0.21707255
49, 3085068, 0.21640235
50, 3514368, 0.21478578
51, 3713583, 0.21427003
52, 2878686, 0.21416229
53, 2930290, 0.21406282
54, 3409922, 0.21233061
55, 3859019, 0.2115255
56, 3493829, 0.21054064
57, 3015647, 0.210038
58, 3432328, 0.20823424
59, 2769376, 0.2072579
60, 3596056, 0.20644991
61, 3514797, 0.20565031
62, 2098769, 0.20182048
63, 2628006, 0.20162342
64, 3161682, 0.20124626
65, 2779315, 0.20039196
66, 3760260, 0.19772857
67, 3043453, 0.19559573
68, 3376497, 0.19416955
69, 3015834, 0.19345368
70, 2615036, 0.19225344
71, 3530760, 0.19200532
72, 2740156, 0.18996555
73, 3304262, 0.1883561
74, 2936924, 0.18825717
75, 3293171, 0.18635046
76, 3134036, 0.18595701
77, 3304281, 0.1853954
78, 3003679, 0.18386158
79, 3304264, 0.18336639
80, 1502130, 0.18251432
81, 2816798, 0.18206298
82, 3176762, 0.18186583
83, 2579288, 0.18136895
84, 3639707, 0.18015946
85, 3651717, 0.17938653
86, 3135046, 0.17840126
87, 2827155, 0.1779562
88, 3829784, 0.17727335
89, 3653542, 0.17689523
90, 3679720, 0.17667395
91, 3606420, 0.1742694
92, 3526876, 0.1738214
93, 2740166, 0.1728959
94, 3880005, 0.1727326
95, 3350450, 0.17232776
96, 3407625, 0.17155387
97, 3809190, 0.17153814
98, 3787618, 0.17153177
99, 3389893, 0.1701209
100, 3046009, 0.16953415
