rank, pmcid, score
1, 3390300, 0.0044212206
2, 3391837, 0.00284737
3, 3345108, 0.0025668875
4, 2749011, 0.0022678867
5, 3129353, 0.0022104457
6, 3649302, 0.0021568497
7, 3487991, 0.0020652902
8, 3215995, 0.0020336842
9, 3221908, 0.002010643
10, 3195876, 0.0019877586
11, 3567954, 0.0019288672
12, 3398579, 0.0018742156
13, 3838988, 0.0018680297
14, 3391840, 0.0018637857
15, 2222677, 0.0018614009
16, 3263606, 0.001847602
17, 3221195, 0.0018435421
18, 3036873, 0.0018302108
19, 2954929, 0.0018218644
20, 3199939, 0.001752228
21, 3679720, 0.0017419868
22, 3016194, 0.0017108726
23, 3015509, 0.0017043189
24, 2784509, 0.0016861627
25, 3459380, 0.001679152
26, 2689852, 0.0016741737
27, 3097568, 0.0016326105
28, 2796640, 0.001606325
29, 3317476, 0.0015827185
30, 3875471, 0.0015665113
31, 3860644, 0.0015650741
32, 3608639, 0.0015018132
33, 3484540, 0.0014900275
34, 3863827, 0.0014827101
35, 3081504, 0.0014736986
36, 1297605, 0.0014497938
37, 2923186, 0.001437864
38, 1852095, 0.0014334642
39, 2593449, 0.0014093001
40, 1750988, 0.0013925778
41, 2546374, 0.0013880506
42, 3635623, 0.0013634943
43, 3042115, 0.001352798
44, 3502832, 0.0013489543
45, 2171389, 0.0013377185
46, 2769322, 0.0013275921
47, 3055139, 0.0013054798
48, 3411373, 0.0013022687
49, 3518934, 0.0012930243
50, 2855078, 0.0012916342
51, 2887168, 0.0012848305
52, 1079952, 0.0012816262
53, 3350059, 0.0012776464
54, 3863962, 0.0012700973
55, 3045317, 0.0012563993
56, 3079085, 0.0012482443
57, 2241870, 0.0012470112
58, 2827076, 0.0012447195
59, 2799007, 0.0012446665
60, 3043399, 0.0012399975
61, 3663309, 0.0012381768
62, 2391260, 0.0012172231
63, 2921104, 0.0012006614
64, 2987957, 0.0011957493
65, 2933643, 0.0011950309
66, 3484543, 0.0011907418
67, 2769345, 0.0011833466
68, 1805747, 0.0011820978
69, 3135002, 0.0011790963
70, 2878678, 0.0011703413
71, 3503847, 0.0011642497
72, 3711735, 0.0011629303
73, 3195765, 0.0011593819
74, 3637196, 0.0011551672
75, 3046625, 0.0011487777
76, 3481865, 0.0011448885
77, 3034074, 0.0011371847
78, 3748403, 0.0011365048
79, 2586628, 0.0011357476
80, 343284, 0.0011345616
81, 3159937, 0.0011263133
82, 3859019, 0.0011257026
83, 3755571, 0.0011188358
84, 3765965, 0.0011037925
85, 3623784, 0.0010932692
86, 3274421, 0.0010886173
87, 2628740, 0.001085857
88, 3193756, 0.0010847176
89, 3195434, 0.001078095
90, 3445443, 0.0010770616
91, 2394531, 0.0010747438
92, 2657279, 0.0010694704
93, 2650968, 0.0010609534
94, 3439543, 0.0010593252
95, 3725171, 0.0010551966
96, 3841544, 0.0010511258
97, 3338082, 0.0010483569
98, 2924549, 0.0010454459
99, 2606555, 0.0010401175
100, 1033971, 0.0010401175
