rank, pmcid, score
1, 3849794, 0.8117859
2, 3853387, 0.74150133
3, 2827106, 0.65095663
4, 3733192, 0.64313596
5, 2531110, 0.6264051
6, 3342739, 0.60794675
7, 3579993, 0.590787
8, 3436637, 0.5766673
9, 2774533, 0.5721934
10, 2930659, 0.5688495
11, 3183691, 0.5651711
12, 3587910, 0.55895334
13, 2474644, 0.55632734
14, 3792541, 0.5549975
15, 3814076, 0.554996
16, 2936317, 0.5533834
17, 3651929, 0.53224754
18, 3669560, 0.5300361
19, 3767022, 0.52998066
20, 3485125, 0.52473235
21, 1824747, 0.52367723
22, 3378931, 0.52267283
23, 2769329, 0.522286
24, 3023754, 0.5148099
25, 3234159, 0.5112996
26, 3276037, 0.51012456
27, 2596111, 0.50831103
28, 3445096, 0.50564027
29, 1308873, 0.49970657
30, 3334261, 0.49933407
31, 2526070, 0.4950979
32, 3695311, 0.49442998
33, 3522346, 0.49263448
34, 3062014, 0.48702544
35, 2740244, 0.4849905
36, 3876596, 0.48424083
37, 3568724, 0.48389518
38, 2740189, 0.4792587
39, 2700440, 0.4740929
40, 3702444, 0.47355974
41, 1523371, 0.4726074
42, 2917397, 0.47146568
43, 3343251, 0.46979252
44, 2988180, 0.46937272
45, 3829227, 0.4653578
46, 3616181, 0.46524104
47, 3336229, 0.46475208
48, 2783064, 0.46381685
49, 2771785, 0.46244448
50, 2732080, 0.46224356
51, 3129533, 0.46220338
52, 3117630, 0.46204278
53, 3420620, 0.46024004
54, 3355865, 0.46001095
55, 3532912, 0.45884618
56, 3199241, 0.45661494
57, 2845114, 0.45366627
58, 2823048, 0.44884405
59, 3557624, 0.44845402
60, 3841692, 0.4448051
61, 3130373, 0.44469655
62, 3326998, 0.44419366
63, 2893434, 0.44320565
64, 3861582, 0.44072098
65, 2862513, 0.43882874
66, 3329702, 0.43755004
67, 2646690, 0.4370373
68, 3047758, 0.43688756
69, 3086330, 0.43542176
70, 3322185, 0.4336875
71, 3085068, 0.432157
72, 3350125, 0.43162936
73, 3229059, 0.42965883
74, 3506075, 0.42795193
75, 3804820, 0.4278421
76, 3603620, 0.4278257
77, 2222671, 0.4278249
78, 3574827, 0.42767522
79, 2082036, 0.4276061
80, 3107161, 0.42719093
81, 3754399, 0.42688072
82, 2627817, 0.42654487
83, 3862464, 0.42634022
84, 2883201, 0.42525238
85, 2892667, 0.42521015
86, 2828091, 0.42475146
87, 2700434, 0.42446566
88, 3259402, 0.4238534
89, 3605187, 0.42368206
90, 3343246, 0.42339063
91, 2803888, 0.42187005
92, 3444217, 0.42052105
93, 3562643, 0.42020807
94, 3463044, 0.41898522
95, 3749557, 0.41887152
96, 3517946, 0.4186158
97, 3195099, 0.4173447
98, 3475026, 0.4172288
99, 3713368, 0.4160132
100, 2958331, 0.41511795
