pmcid	relevancy	score
2811943.0	2.0	0.08167677
3489798.0	2.0	0.07790252
3026928.0	2.0	0.09760328
2819256.0	2.0	0.073523745
3703898.0	2.0	0.08312122
2556735.0	2.0	0.09870418
2811919.0	2.0	0.075630285
2447617.0	2.0	0.07221425
3500006.0	2.0	0.08978907
2909783.0	2.0	0.12686017
2536546.0	2.0	0.12519819
2375967.0	2.0	0.06347065
3860083.0	2.0	0.06394466
3162713.0	2.0	0.088521935
2700595.0	2.0	0.19197604
2424119.0	2.0	0.10374015
3097575.0	2.0	0.10495017
3500003.0	2.0	0.14473993
2575601.0	2.0	0.11649712
2703212.0	2.0	0.15792787
3209993.0	2.0	0.05607441
2566562.0	2.0	0.13358833
2517085.0	2.0	0.046583913
3500013.0	2.0	0.06020775
3363371.0	2.0	0.07321116
2911700.0	2.0	0.088030286
137370.0	2.0	0.07465635
