pmcid	relevancy	score
2475384.0	1.0	0.014713613
2726470.0	1.0	0.17486352
3729991.0	2.0	0.14417885
2659845.0	1.0	0.1875014
3796724.0	1.0	0.16885383
2449135.0	1.0	0.045175146
2644320.0	1.0	0.2513851
3870869.0	2.0	0.12549806
3627155.0	2.0	0.10981947
3113179.0	1.0	0.16593578
3015793.0	2.0	0.06435298
2736155.0	1.0	0.15761401
2546371.0	1.0	0.34335774
3261406.0	2.0	0.1479962
3673574.0	2.0	0.1177638
3030794.0	2.0	0.09902662
2546372.0	1.0	0.27942634
3625558.0	2.0	0.11087835
2442045.0	1.0	0.1894938
3191386.0	2.0	0.08834703
3729989.0	2.0	0.07924124
3340973.0	1.0	0.37487972
2562359.0	1.0	0.10537837
2821651.0	2.0	0.13399853
2478665.0	1.0	0.18140161
3015275.0	2.0	0.13427292
3015684.0	1.0	0.15553342
3016825.0	2.0	0.09406304
3015272.0	1.0	0.12900674
2385905.0	1.0	0.039020244
2365938.0	1.0	0.2817777
3630710.0	2.0	0.14762254
2467416.0	1.0	0.23952273
3016470.0	2.0	0.080880955
3183543.0	1.0	0.18751158
3015359.0	2.0	0.11008255
3015668.0	2.0	0.14117031
3016484.0	1.0	0.16140826
2998004.0	2.0	0.08237541
3015692.0	1.0	0.25585678
