pmcid	relevancy	score
2536181.0	1.0	0.08076128
2553050.0	2.0	0.10100907
2869440.0	1.0	0.079562984
3467606.0	1.0	0.04888738
2266718.0	1.0	0.045870837
2726548.0	1.0	0.06263181
1891108.0	1.0	0.094580315
3644739.0	1.0	0.08452466
3015846.0	2.0	0.11124241
3396109.0	2.0	0.061654724
2835690.0	2.0	0.09171884
3521404.0	2.0	0.0961912
3649270.0	2.0	0.038719784
2984407.0	1.0	0.1415486
1570451.0	2.0	0.08388928
3860647.0	2.0	0.11569532
2822176.0	2.0	0.05929376
3516932.0	1.0	0.026992802
3746438.0	2.0	0.108561166
2966580.0	1.0	0.07934082
3160360.0	2.0	0.04899905
3854980.0	2.0	0.10895387
3350049.0	2.0	0.08561246
3311001.0	1.0	0.35938194
3468117.0	2.0	0.19425605
3601500.0	2.0	0.09965489
3538640.0	2.0	0.08300396
2667168.0	2.0	0.07880676
3649285.0	1.0	0.036999673
1687187.0	2.0	0.028244337
3468765.0	1.0	0.023713993
3075161.0	1.0	0.07029094
2245957.0	1.0	0.042507943
2584009.0	1.0	0.12510613
3127318.0	1.0	0.049119033
3789901.0	2.0	0.033785403
3215995.0	2.0	0.07534201
2805600.0	1.0	0.03863522
2222677.0	1.0	0.06838842
3015287.0	2.0	0.027260706
2702886.0	1.0	0.16878162
2628097.0	2.0	0.13570696
3129103.0	1.0	0.08622691
3616185.0	2.0	0.07267883
3170312.0	1.0	0.046381425
3711740.0	2.0	0.06276521
2740109.0	1.0	0.049592853
3876503.0	1.0	0.08290988
1636036.0	1.0	0.20145532
2918628.0	2.0	0.026643839
3108289.0	1.0	0.09861272
3825967.0	2.0	0.15964375
1936994.0	2.0	0.0421502
3841536.0	1.0	0.08780382
2769322.0	2.0	0.09629406
3818878.0	2.0	0.07126719
3580753.0	2.0	0.133579
3043450.0	2.0	0.08308329
3200117.0	2.0	0.1466314
3201103.0	2.0	0.020285908
3481223.0	2.0	0.063683115
2823150.0	2.0	0.06197153
3273785.0	2.0	0.037945602
3410093.0	2.0	0.06933703
3350007.0	1.0	0.07361808
3838988.0	1.0	0.075765386
2656964.0	2.0	0.10642006
3711735.0	2.0	0.07177759
2749011.0	1.0	0.078655764
3876522.0	1.0	0.12918319
3326743.0	2.0	0.05817533
3259121.0	2.0	0.11662893
3180596.0	1.0	0.04421974
3123199.0	2.0	0.062926166
3236146.0	2.0	0.07928316
1751015.0	1.0	0.042814005
3015509.0	2.0	0.023562726
2116997.0	2.0	0.1059589
2740038.0	1.0	0.114815034
2829468.0	1.0	0.032607194
1805426.0	1.0	0.05691906
3145093.0	2.0	0.05927992
3443655.0	2.0	0.15845913
3636075.0	2.0	0.07063942
1523371.0	1.0	0.053437635
1459264.0	1.0	0.037122488
2546374.0	2.0	0.045681205
2892435.0	1.0	0.102993995
2933699.0	1.0	0.0140253175
3750490.0	2.0	0.036344495
3570930.0	2.0	0.031684674
1459268.0	1.0	0.08536414
3121590.0	2.0	0.33067334
2972610.0	2.0	0.06464104
2311282.0	2.0	0.08688589
3649614.0	1.0	0.08535497
3479014.0	2.0	0.052910246
3470986.0	2.0	0.0790111
153522.0	2.0	0.04380578
3047893.0	1.0	0.055958007
3542893.0	1.0	0.064102046
3113185.0	1.0	0.0577748
2423870.0	2.0	0.07939345
3101356.0	2.0	0.03592661
3502811.0	2.0	0.105531394
3004513.0	1.0	0.13450389
2254639.0	2.0	0.06393362
3123852.0	1.0	0.0816957
2258295.0	2.0	0.03878437
3263603.0	1.0	0.04920073
3088392.0	2.0	0.07802886
2903521.0	2.0	0.07439944
2656981.0	1.0	0.12632534
3209994.0	1.0	0.077972725
