pmcid	relevancy	score
3109342.0	1.0	0.02540952
2700454.0	2.0	0.12299225
3533152.0	1.0	0.07349314
2911751.0	1.0	0.053657386
2386861.0	1.0	0.08030545
2591620.0	2.0	0.006332867
3458229.0	1.0	0.038334854
1112595.0	1.0	0.12697487
1751045.0	1.0	0.02723113
1891275.0	2.0	0.035276055
3672621.0	1.0	0.06913203
2018704.0	1.0	0.07116081
2946718.0	1.0	0.10922792
2636786.0	1.0	0.14919186
3063653.0	2.0	0.059864763
3564029.0	2.0	0.16390559
3320461.0	2.0	0.10330327
3310460.0	2.0	0.028343044
2958958.0	2.0	0.05026033
1820987.0	1.0	0.080289476
3535733.0	2.0	0.093852945
2780641.0	1.0	0.044319425
3546448.0	1.0	0.058721893
3125024.0	1.0	0.09147693
3000162.0	1.0	0.11755652
2253540.0	1.0	0.055208392
2955686.0	2.0	0.09935174
3499172.0	1.0	0.03707106
2842275.0	2.0	0.104070924
2958005.0	2.0	0.11266712
3114546.0	2.0	0.15207118
3079651.0	1.0	0.062308136
2365966.0	1.0	0.11168406
3828296.0	1.0	0.041844785
2474644.0	1.0	0.09784659
3456478.0	1.0	0.07095124
3396276.0	2.0	0.08913341
3647710.0	1.0	0.0816229
1413549.0	1.0	0.09878915
2930172.0	2.0	0.04410262
2390549.0	1.0	0.032252215
3121612.0	2.0	0.04399845
3867258.0	2.0	0.04746034
2714572.0	2.0	0.088072754
3162821.0	1.0	0.08032555
3766340.0	1.0	0.074325554
2385751.0	1.0	0.014665049
3176209.0	2.0	0.07966222
2128214.0	1.0	0.011524597
2754485.0	1.0	0.042599324
2725870.0	1.0	0.03473003
2725948.0	2.0	0.046793554
2202333.0	1.0	0.032240063
3486933.0	2.0	0.017558627
3266655.0	1.0	0.07890898
3321975.0	1.0	0.018828219
2918871.0	2.0	0.045468457
2575602.0	2.0	0.057170227
3381396.0	1.0	0.04877442
3322057.0	1.0	0.08531029
3322907.0	1.0	0.101290874
3844354.0	2.0	0.030327668
3825647.0	2.0	0.09939502
3052621.0	2.0	0.036883134
3378931.0	1.0	0.108408295
3552307.0	2.0	0.03922926
3170265.0	2.0	0.087469265
3129349.0	2.0	0.03352265
3805478.0	1.0	0.040015724
3374420.0	2.0	0.03228739
1175897.0	1.0	0.032547414
2578943.0	2.0	0.001395554
3793435.0	2.0	0.075012505
2621130.0	1.0	0.11326387
2385654.0	1.0	0.020918993
3205006.0	1.0	0.09453727
3301050.0	2.0	0.13111228
1781795.0	1.0	0.008205822
3159900.0	1.0	0.04169103
2878208.0	2.0	0.038027786
3446154.0	2.0	0.12391617
2958022.0	1.0	0.049050786
3616825.0	1.0	0.04619639
3066183.0	1.0	0.05445355
3403114.0	1.0	0.09980787
3853203.0	1.0	0.03273562
3090107.0	2.0	0.08371322
3610129.0	2.0	0.0526296
3294754.0	2.0	0.033987932
2600388.0	1.0	0.018501692
3609679.0	2.0	0.102926075
3035547.0	2.0	0.07663705
3544629.0	2.0	0.024494408
3034701.0	1.0	0.044603597
3681687.0	1.0	0.16828194
3651415.0	1.0	0.1017842
2546434.0	1.0	0.10457926
2893430.0	2.0	0.084019884
2923780.0	1.0	0.043502893
1087510.0	1.0	0.028363995
3429833.0	1.0	0.08506532
2855073.0	1.0	0.10811849
2082036.0	1.0	0.099634275
3591538.0	1.0	0.11058147
2705343.0	1.0	0.048080247
2448050.0	1.0	0.0181491
3033095.0	1.0	0.17970484
1215528.0	1.0	0.017527066
3436624.0	1.0	0.07616833
3640983.0	2.0	0.08179034
2700478.0	1.0	0.040107884
3376101.0	2.0	0.052944947
2025296.0	1.0	0.01784196
3226624.0	1.0	0.064338095
3463044.0	1.0	0.095634356
3162819.0	1.0	0.16648516
3118811.0	2.0	0.049678918
3584903.0	1.0	0.030156026
1175924.0	1.0	0.042881485
2846739.0	1.0	0.122114584
2862513.0	1.0	0.11129518
2803992.0	1.0	0.11688961
3637271.0	1.0	0.10017228
2988176.0	2.0	0.09304165
2958542.0	1.0	0.073719114
3075397.0	1.0	0.109747864
1386678.0	1.0	0.09219166
3837656.0	2.0	0.016405946
1240959.0	1.0	0.0055772373
2698064.0	2.0	0.040943243
2750192.0	2.0	0.06744691
2583042.0	1.0	0.03791282
2385823.0	1.0	0.012527086
2546376.0	1.0	0.098215856
2647170.0	1.0	0.11787287
2732551.0	1.0	0.103758685
1550803.0	1.0	0.07250513
1277009.0	1.0	0.098361984
2644295.0	2.0	0.11613923
3311181.0	2.0	0.11714339
3542335.0	2.0	0.08268195
3414549.0	1.0	0.08747982
1568380.0	1.0	0.0024875738
3278951.0	2.0	0.09866502
3766129.0	1.0	0.110830694
3655108.0	1.0	0.072609015
2966984.0	1.0	0.09099365
3502361.0	1.0	0.055389177
3519021.0	2.0	0.095102325
3309579.0	1.0	0.100432254
3539528.0	2.0	0.05302193
2002419.0	1.0	0.008205822
3650976.0	2.0	0.06595311
2727333.0	2.0	0.076897465
3751081.0	2.0	0.05595541
2133536.0	2.0	0.01007827
2974228.0	2.0	0.081592284
3314854.0	2.0	0.083927415
1469866.0	1.0	0.031071624
2829597.0	1.0	0.07911401
1168906.0	2.0	0.038804606
3323160.0	2.0	0.061313666
3376151.0	1.0	0.022764035
3845747.0	2.0	0.08395135
3097723.0	2.0	0.09954717
3364540.0	2.0	0.09888509
2991321.0	2.0	0.033153713
3322910.0	2.0	0.073923536
3389947.0	1.0	0.0869307
3511061.0	2.0	0.04085442
1257604.0	1.0	0.085214145
2725834.0	2.0	0.045302477
3316689.0	2.0	0.04675558
183865.0	1.0	0.048394464
3323328.0	2.0	0.076986775
2764845.0	2.0	0.08378433
3748528.0	1.0	0.042290576
3085223.0	2.0	0.11200297
3432326.0	1.0	0.03634759
3291226.0	2.0	0.056972586
2783073.0	2.0	0.13174243
3872011.0	1.0	0.04620098
3563698.0	1.0	0.11373408
2515635.0	1.0	0.08291355
1475232.0	1.0	0.022772264
3583117.0	2.0	0.109958045
2850176.0	2.0	0.03520352
2815980.0	2.0	0.14144069
2803920.0	1.0	0.07122794
2946956.0	1.0	0.055449404
3323212.0	2.0	0.079637825
3522360.0	2.0	0.096804135
3746305.0	1.0	0.09112356
1939852.0	1.0	0.03995676
3385239.0	2.0	0.036980763
1464381.0	2.0	0.11838788
1796861.0	2.0	0.03336034
3640090.0	2.0	0.049998377
3436764.0	1.0	0.03981651
2828091.0	2.0	0.13009359
3099506.0	1.0	0.08610123
3784437.0	2.0	0.032615904
3118372.0	2.0	0.08999972
3496690.0	1.0	0.06618711
2860402.0	1.0	0.09165005
3462154.0	1.0	0.019080264
3439446.0	1.0	0.043681126
2559831.0	1.0	0.07252283
