pmcid	relevancy	score
3764164.0	1.0	0.054657087
2695191.0	2.0	0.06078667
2962302.0	2.0	0.04992782
3475004.0	2.0	0.080422714
2650609.0	1.0	0.070085846
2650592.0	1.0	0.07382309
1386666.0	1.0	0.037214812
2246097.0	2.0	0.019749828
1481583.0	1.0	0.035988715
1524986.0	1.0	0.08718032
2848004.0	2.0	0.05996169
2692120.0	2.0	0.0694855
3638626.0	2.0	0.03206296
3884956.0	2.0	0.08880385
3165919.0	1.0	0.087159395
3282915.0	2.0	0.06784559
3514008.0	2.0	0.029854154
3219759.0	2.0	0.17271529
1697818.0	1.0	0.09614554
3580134.0	2.0	0.019165752
2706605.0	1.0	0.05304887
2706608.0	2.0	0.096366815
3430121.0	1.0	0.07594667
3653890.0	2.0	0.047670502
3711651.0	2.0	0.034503657
2687595.0	1.0	0.0474439
2865026.0	1.0	0.042226408
2939681.0	1.0	0.028766818
3845712.0	2.0	0.056233127
3109340.0	2.0	0.0748726
1269449.0	1.0	0.1208549
1949836.0	1.0	0.07994757
2706597.0	1.0	0.09574037
3047913.0	1.0	0.10152705
2699965.0	1.0	0.12627603
2988175.0	2.0	0.037352793
1479817.0	1.0	0.075589605
3436640.0	2.0	0.04867538
3816156.0	2.0	0.11874692
3557179.0	1.0	0.038298108
2629961.0	2.0	0.045089316
3808824.0	1.0	0.10162171
2629967.0	2.0	0.07721184
3457839.0	2.0	0.01983693
3177593.0	2.0	0.04155174
2739483.0	2.0	0.042515527
2650594.0	1.0	0.07700233
3642471.0	2.0	0.1324932
2799410.0	1.0	0.0743727
3884851.0	2.0	0.015315244
2699958.0	2.0	0.16513975
3257951.0	1.0	0.035155665
2695197.0	2.0	0.022482667
3775210.0	2.0	0.17477562
3016307.0	1.0	0.046637584
2846152.0	2.0	0.05285677
3107698.0	2.0	0.13447091
2528206.0	1.0	0.0663146
3463056.0	1.0	0.076261625
2528218.0	1.0	0.034820534
3479064.0	2.0	0.12387721
1168908.0	1.0	0.047041725
3072154.0	2.0	0.025122143
3372934.0	1.0	0.04497651
2528214.0	1.0	0.088879526
2692114.0	2.0	0.029471213
3556894.0	2.0	0.056054696
1187925.0	1.0	0.035370767
3478173.0	2.0	0.022555072
3325000.0	2.0	0.042430792
2672796.0	1.0	0.036861937
3365251.0	1.0	0.08135681
3062119.0	1.0	0.032259353
3459658.0	1.0	0.01712702
3217852.0	1.0	0.01723834
3833311.0	1.0	0.062566064
517721.0	2.0	0.030285405
3818738.0	1.0	0.07491032
1592076.0	1.0	0.06518439
3598856.0	1.0	0.10863261
2672797.0	1.0	0.039119724
2706609.0	1.0	0.017352186
2048957.0	1.0	0.09017407
3728154.0	2.0	0.07858625
3004609.0	2.0	0.16103603
2650603.0	2.0	0.07698646
3530855.0	1.0	0.12857278
3657849.0	2.0	0.08668895
3266210.0	2.0	0.08359759
3595976.0	2.0	0.024436941
3170646.0	2.0	0.054632016
2707808.0	2.0	0.02833829
3795054.0	2.0	0.037578683
2802352.0	1.0	0.09422281
2685145.0	2.0	0.047775775
3869834.0	2.0	0.0783394
3511775.0	2.0	0.07566373
2876086.0	2.0	0.011096721
3787546.0	2.0	0.056064043
2707802.0	2.0	0.087617055
3485098.0	1.0	0.03555836
