pmcid	relevancy	score
2752757.0	2.0	0.06696817
3199072.0	2.0	0.0739253
3406277.0	2.0	0.11198299
3078282.0	2.0	0.06154352
2494540.0	2.0	0.13014883
3374026.0	2.0	0.075192235
3258729.0	2.0	0.10545726
3078258.0	2.0	0.05950517
3301006.0	2.0	0.09447196
3093002.0	2.0	0.07818818
3877606.0	2.0	0.06445672
2553061.0	2.0	0.09797205
3259381.0	2.0	0.061134946
3880210.0	1.0	0.06385356
3545850.0	2.0	0.077505976
2490681.0	2.0	0.09222009
2315652.0	2.0	0.092627086
2672240.0	2.0	0.08514044
3420628.0	2.0	0.090130284
2845797.0	2.0	0.07365502
1201136.0	2.0	0.04359321
3205748.0	2.0	0.09932746
3481681.0	1.0	0.060543153
1402280.0	1.0	0.051925942
3874377.0	2.0	0.05680534
2267791.0	1.0	0.028348003
3406271.0	2.0	0.048975103
2503962.0	2.0	0.10043123
2758876.0	2.0	0.070460066
3490454.0	2.0	0.085648514
2729419.0	1.0	0.056553587
3582057.0	1.0	0.15186249
3283750.0	1.0	0.061399557
3809224.0	2.0	0.11193347
3326370.0	2.0	0.033173442
2653043.0	2.0	0.16024226
2429898.0	1.0	0.10790181
2635122.0	1.0	0.06823154
2438319.0	2.0	0.08412665
3259311.0	2.0	0.05177596
3008823.0	2.0	0.06550704
2832616.0	2.0	0.090461604
3760668.0	1.0	0.13492237
3258019.0	2.0	0.1099003
3433655.0	2.0	0.07602678
2270358.0	2.0	0.057591047
130966.0	2.0	0.04532009
3764695.0	2.0	0.07247112
2799444.0	2.0	0.06541403
3406274.0	2.0	0.1211935
1475887.0	2.0	0.041827817
1402267.0	2.0	0.068653524
1236944.0	2.0	0.105609156
2672237.0	2.0	0.15234065
3277903.0	1.0	0.082499474
3890743.0	2.0	0.059187673
3701502.0	1.0	0.08387037
2668594.0	2.0	0.056865256
2801475.0	2.0	0.16355251
155634.0	2.0	0.050456293
2599899.0	1.0	0.07721236
2602994.0	2.0	0.065326765
3224392.0	2.0	0.059056096
3744738.0	2.0	0.098007336
3856285.0	2.0	0.17598045
