abstract	body	pmcid	relevancy	title
0.18011108	0.18011108	3294402.0	2.0	0.18011108
0.21472375	0.21472375	2662423.0	2.0	0.21472375
0.16498156	0.16498156	2396646.0	2.0	0.16498156
0.22246304	0.22246304	2442721.0	2.0	0.22246304
0.16084704	0.16084704	3010999.0	2.0	0.16084704
0.14618452	6.144713	3064892.0	2.0	0.14618452
0.15890086	0.15890086	3294930.0	2.0	0.15890086
0.14556523	0.14556523	3350389.0	2.0	0.14556523
0.21911846	0.21911846	3108318.0	2.0	0.21911846
0.17437026	0.17437026	2048661.0	2.0	0.17437026
0.28338242	0.28338242	3776740.0	2.0	0.28338242
0.21009623	0.21009623	3329036.0	2.0	0.21009623
0.26606908	0.26606908	3659284.0	2.0	0.26606908
0.2950707	0.2950707	3579948.0	2.0	0.2950707
0.2395362	0.2395362	3874601.0	2.0	0.2395362
0.23541664	0.23541664	3810122.0	2.0	0.23541664
0.1136634	0.1136634	3878349.0	2.0	0.1136634
0.15040918	0.15040918	3121651.0	2.0	0.15040918
0.17518081	0.17518081	545196.0	2.0	0.17518081
0.25302893	0.25302893	3002144.0	2.0	0.25302893
0.17396566	0.17396566	3308704.0	2.0	0.17396566
0.16090328	0.16090328	3135562.0	2.0	0.16090328
0.19902433	0.19902433	3499992.0	2.0	0.19902433
0.22575748	0.22575748	1190209.0	2.0	0.22575748
0.21695846	0.21695846	3294539.0	2.0	0.21695846
0.22077495	0.22077495	2169253.0	2.0	0.22077495
0.23729743	0.23729743	2671450.0	2.0	0.23729743
0.20866217	0.20866217	1805504.0	2.0	0.20866217
0.25338122	0.25338122	2020466.0	2.0	0.25338122
0.1513788	0.1513788	2632633.0	2.0	0.1513788
0.16374002	0.16374002	2771031.0	2.0	0.16374002
0.3421106	0.3421106	3224336.0	2.0	0.3421106
0.17889406	5.2490854	3348951.0	2.0	0.17889406
0.10535926	0.10535926	2364524.0	2.0	0.10535926
0.2571215	6.4771485	3395692.0	2.0	0.2571215
0.2044871	0.2044871	3673823.0	2.0	0.2044871
0.17392156	0.17392156	3062442.0	2.0	0.17392156
0.12406128	0.12406128	3170143.0	2.0	0.12406128
0.17776555	0.17776555	3581554.0	2.0	0.17776555
0.18633117	0.18633117	1941736.0	2.0	0.18633117
0.116734356	0.116734356	101408.0	2.0	0.116734356
0.209271	0.209271	3071276.0	2.0	0.209271
0.12704335	6.4778957	2621421.0	2.0	0.12704335
0.21515703	0.21515703	3765867.0	2.0	0.21515703
0.23194431	0.23194431	1533839.0	2.0	0.23194431
0.04359308	0.04359308	1784581.0	2.0	0.04359308
0.20352583	0.20352583	3268102.0	2.0	0.20352583
0.18335553	0.18335553	3695962.0	2.0	0.18335553
0.1293054	0.1293054	2817700.0	2.0	0.1293054
0.1360234	5.9365926	1564027.0	2.0	0.1360234
0.11269822	5.0102	3581530.0	2.0	0.11269822
0.1554183	0.1554183	1802871.0	2.0	0.1554183
0.0735715	0.0735715	2716359.0	2.0	0.0735715
0.18287922	0.18287922	3878108.0	2.0	0.18287922
0.26247755	0.26247755	3123601.0	2.0	0.26247755
