pmcid	relevancy	score
3097804.0	2.0	0.15151107
2988176.0	2.0	0.13158076
3033073.0	2.0	0.15820996
3436624.0	1.0	0.10771829
3844354.0	2.0	0.0428898
2850176.0	2.0	0.049785294
3403114.0	1.0	0.14114965
2082036.0	1.0	0.14090416
3872011.0	1.0	0.06533805
2206392.0	2.0	0.099831805
3681687.0	1.0	0.2379866
3034701.0	1.0	0.06307901
3583117.0	2.0	0.15550415
3542335.0	2.0	0.11692993
2385751.0	1.0	0.020739513
3278951.0	2.0	0.13953342
3481388.0	2.0	0.060359403
2828091.0	2.0	0.1839801
1550803.0	1.0	0.10253774
2754485.0	1.0	0.06024454
3374420.0	2.0	0.045661263
2559831.0	1.0	0.102562755
3322907.0	1.0	0.14324693
3539528.0	2.0	0.074984334
3552307.0	2.0	0.05547855
1175916.0	1.0	0.10078074
3033095.0	1.0	0.25414103
3257067.0	1.0	0.11647569
2855073.0	1.0	0.15290262
3650976.0	2.0	0.093271784
2918871.0	2.0	0.06430211
3090107.0	2.0	0.118388355
3170265.0	2.0	0.12370022
2128214.0	1.0	0.016298242
2492864.0	2.0	0.07401798
3000162.0	1.0	0.16625002
2811908.0	2.0	0.09235194
3322781.0	2.0	0.100405425
3000139.0	1.0	0.07046685
2829597.0	1.0	0.111884095
3223529.0	2.0	0.12085448
2815980.0	2.0	0.20002735
1386678.0	1.0	0.1303787
3226624.0	1.0	0.09098781
3544629.0	2.0	0.034640323
3748528.0	1.0	0.0598079
1891275.0	2.0	0.049887873
2644295.0	2.0	0.16424567
3374421.0	2.0	0.07029199
1175897.0	1.0	0.046028994
3463044.0	1.0	0.13524741
3845747.0	2.0	0.11872513
2566980.0	1.0	0.046799447
3535733.0	2.0	0.1327281
2958032.0	2.0	0.109777756
3420557.0	1.0	0.09979947
3121612.0	2.0	0.062223203
3746305.0	1.0	0.12886818
2846739.0	1.0	0.1726961
3162819.0	1.0	0.23544556
1240959.0	1.0	0.007887404
2974228.0	2.0	0.11538891
2474644.0	1.0	0.13837598
1257604.0	1.0	0.120511
3519021.0	2.0	0.13449499
3429833.0	1.0	0.12030053
2958958.0	2.0	0.071078844
3075397.0	1.0	0.15520692
3751081.0	2.0	0.0791329
3702368.0	1.0	0.17465171
2002419.0	1.0	0.011604784
2842275.0	2.0	0.14717852
3322905.0	2.0	0.049657892
1851004.0	2.0	0.1484328
3266655.0	1.0	0.11159414
3447288.0	1.0	0.09192047
3610129.0	2.0	0.07442949
1215528.0	1.0	0.024787014
2732551.0	1.0	0.14673693
2923780.0	1.0	0.06152238
3825647.0	2.0	0.14056578
2591620.0	2.0	0.008956026
2958005.0	2.0	0.15933537
2729879.0	2.0	0.06561889
3378931.0	1.0	0.15331247
3125024.0	1.0	0.12936792
3522360.0	2.0	0.13690172
35282.0	2.0	0.070708126
3502361.0	1.0	0.078332126
2700478.0	1.0	0.05672111
1751045.0	1.0	0.038510635
2954014.0	2.0	0.05191107
2384718.0	1.0	0.0016281464
3563698.0	1.0	0.1608443
3439446.0	1.0	0.061774436
3546880.0	1.0	0.07189236
3314854.0	2.0	0.11869129
2385654.0	1.0	0.029583922
3853203.0	1.0	0.046295155
3385239.0	2.0	0.052298695
2803920.0	1.0	0.100731514
2680832.0	2.0	0.12397228
3609679.0	2.0	0.14555945
3279317.0	1.0	0.10167165
3797049.0	2.0	0.10337142
3672621.0	1.0	0.09776745
3035547.0	2.0	0.108381145
3118372.0	2.0	0.12727882
3364540.0	2.0	0.13984463
3276904.0	1.0	0.10510413
3647710.0	1.0	0.1154322
2764845.0	2.0	0.118488945
2911751.0	1.0	0.075883
2893430.0	2.0	0.11882206
2546434.0	1.0	0.1478974
3432326.0	1.0	0.051403254
1475232.0	1.0	0.03220484
