pmcid	relevancy	score
3066713.0	2.0	0.15334827
2848680.0	1.0	0.072790496
3002375.0	2.0	0.08471152
3874942.0	1.0	0.09367446
2700671.0	1.0	0.08578414
3522359.0	1.0	0.18343136
3651717.0	1.0	0.11943452
2726514.0	2.0	0.17997192
2878686.0	1.0	0.12832876
3614797.0	1.0	0.25926897
2954974.0	2.0	0.046018697
3015570.0	1.0	0.033304702
3148597.0	2.0	0.19442713
2791738.0	2.0	0.09812833
2908674.0	2.0	0.35639605
3340954.0	1.0	0.109423086
3195536.0	2.0	0.10229464
2766898.0	2.0	0.23821132
3162726.0	1.0	0.12771262
3214510.0	1.0	0.12393916
3111156.0	2.0	0.116847776
3021277.0	2.0	0.11227149
3369119.0	1.0	0.327544
3052620.0	1.0	0.23386632
2700241.0	2.0	0.16507834
2449186.0	2.0	0.11660178
2941598.0	2.0	0.19767052
3719296.0	1.0	0.2739134
3205779.0	2.0	0.13861072
2626783.0	2.0	0.12632939
2963752.0	2.0	0.21088356
3056215.0	2.0	0.099188946
3583074.0	2.0	0.07171254
3097809.0	2.0	0.37176937
2740022.0	1.0	0.060803946
2729468.0	2.0	0.1303161
3205541.0	2.0	0.14862053
3129104.0	2.0	0.122021474
2766875.0	2.0	0.10127129
2769446.0	2.0	0.1137439
2963121.0	2.0	0.17484625
3282101.0	1.0	0.03959815
2713849.0	2.0	0.13938501
2637889.0	1.0	0.053663436
1208937.0	2.0	0.09749032
2782171.0	1.0	0.097052254
3094260.0	2.0	0.18991272
2767137.0	2.0	0.24517867
2938513.0	1.0	0.18158026
2800936.0	2.0	0.19730653
2816301.0	2.0	0.16039869
3018959.0	2.0	0.09316683
2930290.0	1.0	0.15883248
3015487.0	1.0	0.1059552
2970786.0	1.0	0.07449625
2726540.0	2.0	0.12223351
2766886.0	2.0	0.30395877
3016115.0	1.0	0.025740083
2737786.0	1.0	0.15709652
2990894.0	2.0	0.15775804
3019596.0	2.0	0.25617203
2700683.0	2.0	0.18313414
2737761.0	2.0	0.13230819
3646223.0	1.0	0.10615231
3853875.0	2.0	0.057089258
2806401.0	2.0	0.17521039
2921813.0	2.0	0.115912735
3099610.0	2.0	0.32142472
2672247.0	1.0	0.10946871
2672226.0	2.0	0.058715466
2782204.0	1.0	0.08909818
3628456.0	2.0	0.2396647
2709639.0	1.0	0.09250217
1784608.0	1.0	0.11994754
