pmcid	relevancy	score
2930290.0	1.0	0.23449112
3129104.0	2.0	0.18152706
3094260.0	2.0	0.2814474
3205660.0	2.0	0.36218256
2800936.0	2.0	0.2936171
3874942.0	1.0	0.13733393
2637889.0	1.0	0.07889545
2709639.0	1.0	0.13556775
3873172.0	1.0	0.2014763
3583074.0	2.0	0.10668895
3628456.0	2.0	0.35665146
2737761.0	2.0	0.19493188
3056215.0	2.0	0.14622018
3148597.0	2.0	0.28791422
2941598.0	2.0	0.29394257
3162726.0	1.0	0.19005255
2822794.0	1.0	0.13026805
2737786.0	1.0	0.23367964
2766898.0	2.0	0.35433716
2626783.0	2.0	0.18793578
2672247.0	1.0	0.16157632
2726514.0	2.0	0.2677379
3493838.0	1.0	0.2346379
2990894.0	2.0	0.23377691
3052620.0	1.0	0.3479301
2884455.0	2.0	0.8289677
3021277.0	2.0	0.16408508
2766886.0	2.0	0.4521359
2908674.0	2.0	0.53019786
1784608.0	1.0	0.17849714
3015570.0	1.0	0.04954044
2954974.0	2.0	0.06649549
2713849.0	2.0	0.20733394
3614797.0	1.0	0.3841815
2782204.0	1.0	0.13098949
3002375.0	2.0	0.12366462
3195536.0	2.0	0.15216234
2970786.0	1.0	0.11082545
3015759.0	1.0	0.20332989
2848680.0	1.0	0.105038635
2726540.0	2.0	0.1818425
3014817.0	2.0	0.33276573
3719296.0	1.0	0.40542817
3019596.0	2.0	0.38105354
1208937.0	2.0	0.1443133
2938513.0	1.0	0.27013057
2700671.0	1.0	0.12761803
3205541.0	2.0	0.21955407
2718206.0	1.0	0.2377096
2700241.0	2.0	0.24558122
3214510.0	1.0	0.18443716
3018959.0	2.0	0.13858481
2791738.0	2.0	0.14598207
3066713.0	2.0	0.22810414
3111156.0	2.0	0.17284785
3430087.0	2.0	0.44980532
2769446.0	2.0	0.16922031
2963752.0	2.0	0.31373796
3516685.0	1.0	0.1478188
2729468.0	2.0	0.1923631
3369119.0	1.0	0.48629874
3097809.0	2.0	0.5509354
2963121.0	2.0	0.26019338
2767137.0	2.0	0.36252186
3340954.0	1.0	0.15973723
2649930.0	2.0	0.23437048
2700683.0	2.0	0.27244222
3282101.0	1.0	0.05892706
3015424.0	2.0	0.08803511
3099610.0	2.0	0.47084945
2809077.0	2.0	0.24906412
2816301.0	2.0	0.23869358
2878686.0	1.0	0.19088784
3646223.0	1.0	0.15572219
